Year,SERIES,Reference area,Sex,GeoCode,Value,M49_country_code
2021,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,20.729207,KGZ
2007,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,39.954338,KGZ
2008,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,44.11057,KGZ
2009,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,37.118606,KGZ
2010,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,309.616245,KGZ
2011,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,30.44769,KGZ
2012,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,27.007258,KGZ
2013,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,65.319032,KGZ
2014,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,38.683839,KGZ
2015,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,25.568908,KGZ
2016,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,27.42293,KGZ
2017,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,24.919295,KGZ
2018,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,35.610158,KGZ
2019,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,52.570155,KGZ
2020,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,56.753081,KGZ
2021,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,148.062751,KGZ
2007,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,7.896399,KGZ
2008,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,20.263425,KGZ
2009,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,13.09209,KGZ
2010,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,84.274841,KGZ
2011,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,47.337278,KGZ
2012,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,5.333333,KGZ
2013,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,35.351063,KGZ
2014,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,12.94733,KGZ
2015,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,2.512879,KGZ
2016,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,12.46137,KGZ
2017,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,5.105036,KGZ
2018,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,2.617458,KGZ
2019,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,7.705545,KGZ
2020,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,33.273611,KGZ
2021,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,2.541038,KGZ
2009,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,16.408686,KGZ
2010,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,33.337037,KGZ
2011,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,5.502972,KGZ
2013,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,5.457919,KGZ
2014,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,5.139538,KGZ
2015,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,5.105948,KGZ
2020,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,9.967109,KGZ
2021,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,0.0,KGZ
2007,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,15.438452,KGZ
2008,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,40.178796,KGZ
2009,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,10.046213,KGZ
2010,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,130.175737,KGZ
2011,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,85.629376,KGZ
2012,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,10.400416,KGZ
2013,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,65.033601,KGZ
2014,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,20.875737,KGZ
2016,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,25.440114,KGZ
2017,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,10.756736,KGZ
2018,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,5.567309,KGZ
2019,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,15.828629,KGZ
2020,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,57.882551,KGZ
2021,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,5.315756,KGZ
2007,Fatal occupational injuries among employees (rate),,,,4.792995,KGZ
2008,Fatal occupational injuries among employees (rate),,,,4.826447,KGZ
2009,Fatal occupational injuries among employees (rate),,,,5.057444,KGZ
2010,Fatal occupational injuries among employees (rate),,,,6.148875,KGZ
2011,Fatal occupational injuries among employees (rate),,,,4.517259,KGZ
2012,Fatal occupational injuries among employees (rate),,,,4.781357,KGZ
2013,Fatal occupational injuries among employees (rate),,,,5.835186,KGZ
2014,Fatal occupational injuries among employees (rate),,,,3.602017,KGZ
2015,Fatal occupational injuries among employees (rate),,,,4.103205,KGZ
2016,Fatal occupational injuries among employees (rate),,,,5.048044,KGZ
2017,Fatal occupational injuries among employees (rate),,,,6.691124,KGZ
2018,Fatal occupational injuries among employees (rate),,,,1.516867,KGZ
2019,Fatal occupational injuries among employees (rate),,,,2.932863,KGZ
2020,Fatal occupational injuries among employees (rate),,,,2.042355,KGZ
2021,Fatal occupational injuries among employees (rate),,,,3.764061,KGZ
2007,Fatal occupational injuries among employees (rate),,Female,,0.777454,KGZ
2008,Fatal occupational injuries among employees (rate),,Female,,0.411186,KGZ
2009,Fatal occupational injuries among employees (rate),,Female,,1.629361,KGZ
2010,Fatal occupational injuries among employees (rate),,Female,,0.825627,KGZ
2011,Fatal occupational injuries among employees (rate),,Female,,0.403146,KGZ
2013,Fatal occupational injuries among employees (rate),,Female,,0.764608,KGZ
2014,Fatal occupational injuries among employees (rate),,Female,,1.134662,KGZ
2015,Fatal occupational injuries among employees (rate),,Female,,0.729733,KGZ
2016,Fatal occupational injuries among employees (rate),,Female,,0.364109,KGZ
2018,Fatal occupational injuries among employees (rate),,Female,,0.355105,KGZ
2019,Fatal occupational injuries among employees (rate),,Female,,0.0,KGZ
2020,Fatal occupational injuries among employees (rate),,Female,,0.353173,KGZ
2021,Fatal occupational injuries among employees (rate),,Female,,0.356425,KGZ
2007,Fatal occupational injuries among employees (rate),,Male,,9.433242,KGZ
2008,Fatal occupational injuries among employees (rate),,Male,,9.428221,KGZ
2009,Fatal occupational injuries among employees (rate),,Male,,8.731604,KGZ
2010,Fatal occupational injuries among employees (rate),,Male,,11.770296,KGZ
2011,Fatal occupational injuries among employees (rate),,Male,,8.78764,KGZ
2012,Fatal occupational injuries among employees (rate),,Male,,9.937867,KGZ
2013,Fatal occupational injuries among employees (rate),,Male,,11.469205,KGZ
2014,Fatal occupational injuries among employees (rate),,Male,,6.37419,KGZ
2015,Fatal occupational injuries among employees (rate),,Male,,7.992529,KGZ
2016,Fatal occupational injuries among employees (rate),,Male,,10.398988,KGZ
2017,Fatal occupational injuries among employees (rate),,Male,,14.357973,KGZ
2018,Fatal occupational injuries among employees (rate),,Male,,2.84789,KGZ
2019,Fatal occupational injuries among employees (rate),,Male,,6.237574,KGZ
2020,Fatal occupational injuries among employees (rate),,Male,,3.914706,KGZ
2021,Fatal occupational injuries among employees (rate),,Male,,7.576452,KGZ
2007,Fatal occupational injuries among employees (rate),Batken,,KG05,3.728144,KGZ
2008,Fatal occupational injuries among employees (rate),Batken,,KG05,4.071661,KGZ
2009,Fatal occupational injuries among employees (rate),Batken,,KG05,21.645959,KGZ
2010,Fatal occupational injuries among employees (rate),Batken,,KG05,15.755475,KGZ
2011,Fatal occupational injuries among employees (rate),Batken,,KG05,13.845621,KGZ
2012,Fatal occupational injuries among employees (rate),Batken,,KG05,10.351253,KGZ
2013,Fatal occupational injuries among employees (rate),Batken,,KG05,12.475439,KGZ
2014,Fatal occupational injuries among employees (rate),Batken,,KG05,2.86574,KGZ
2015,Fatal occupational injuries among employees (rate),Batken,,KG05,17.705905,KGZ
2016,Fatal occupational injuries among employees (rate),Batken,,KG05,20.716188,KGZ
2017,Fatal occupational injuries among employees (rate),Batken,,KG05,11.266019,KGZ
2018,Fatal occupational injuries among employees (rate),Batken,,KG05,2.849977,KGZ
2019,Fatal occupational injuries among employees (rate),Batken,,KG05,14.151477,KGZ
2020,Fatal occupational injuries among employees (rate),Batken,,KG05,8.238816,KGZ
2021,Fatal occupational injuries among employees (rate),Batken,,KG05,8.301511,KGZ
2007,Fatal occupational injuries among employees (rate),Batken,Male,KG05,7.11187,KGZ
2008,Fatal occupational injuries among employees (rate),Batken,Male,KG05,7.190106,KGZ
2009,Fatal occupational injuries among employees (rate),Batken,Male,KG05,41.52479,KGZ
2010,Fatal occupational injuries among employees (rate),Batken,Male,KG05,28.176951,KGZ
2011,Fatal occupational injuries among employees (rate),Batken,Male,KG05,26.668445,KGZ
2012,Fatal occupational injuries among employees (rate),Batken,Male,KG05,20.19794,KGZ
2013,Fatal occupational injuries among employees (rate),Batken,Male,KG05,23.565453,KGZ
2014,Fatal occupational injuries among employees (rate),Batken,Male,KG05,6.255865,KGZ
2015,Fatal occupational injuries among employees (rate),Batken,Male,KG05,38.56289,KGZ
2016,Fatal occupational injuries among employees (rate),Batken,Male,KG05,43.859649,KGZ
2017,Fatal occupational injuries among employees (rate),Batken,Male,KG05,24.816975,KGZ
2018,Fatal occupational injuries among employees (rate),Batken,Male,KG05,6.485505,KGZ
2019,Fatal occupational injuries among employees (rate),Batken,Male,KG05,32.036907,KGZ
2020,Fatal occupational injuries among employees (rate),Batken,Male,KG05,18.121413,KGZ
2021,Fatal occupational injuries among employees (rate),Batken,Male,KG05,18.371096,KGZ
2007,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,3.583972,KGZ
2008,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,4.534393,KGZ
2009,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,3.352498,KGZ
2010,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,1.65191,KGZ
2011,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,4.722773,KGZ
2012,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,9.200055,KGZ
2013,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,9.390847,KGZ
2014,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,3.023614,KGZ
2015,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,2.776081,KGZ
2016,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,1.395557,KGZ
2017,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,13.231714,KGZ
2020,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,2.648305,KGZ
2021,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,3.716873,KGZ
2013,Fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,2.833263,KGZ
2007,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,7.714264,KGZ
2008,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,9.484367,KGZ
2009,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,7.03705,KGZ
2010,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,3.454351,KGZ
2011,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,10.300783,KGZ
2012,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,20.34381,KGZ
2013,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,17.484352,KGZ
2014,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,6.547716,KGZ
2015,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,6.146848,KGZ
2016,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,3.084611,KGZ
2017,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,29.022521,KGZ
2020,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,5.850006,KGZ
2021,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,8.429334,KGZ
2007,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,13.136807,KGZ
2008,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,2.646273,KGZ
2009,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,16.290182,KGZ
2010,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,7.840063,KGZ
2011,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,2.596189,KGZ
2012,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,5.463287,KGZ
2014,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,2.655901,KGZ
2015,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,7.797879,KGZ
2016,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,10.529918,KGZ
2017,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,7.956927,KGZ
2018,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,2.535947,KGZ
2019,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,7.904722,KGZ
2020,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,5.03918,KGZ
2021,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,5.073438,KGZ
2007,Fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,5.253204,KGZ
2009,Fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,16.760713,KGZ
2010,Fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,5.038799,KGZ
2007,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,21.024967,KGZ
2008,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,5.302789,KGZ
2009,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,15.845349,KGZ
2010,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,10.858353,KGZ
2011,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,5.352746,KGZ
2012,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,11.813349,KGZ
2013,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,0.0,KGZ
2014,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,5.590652,KGZ
2015,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,16.993316,KGZ
2016,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,22.840176,KGZ
2017,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,17.059994,KGZ
2018,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,5.593467,KGZ
2019,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,17.360106,KGZ
2020,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,11.036918,KGZ
2021,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,11.222085,KGZ
2007,Fatal occupational injuries among employees (rate),Naryn,,KG04,17.955739,KGZ
2008,Fatal occupational injuries among employees (rate),Naryn,,KG04,4.448003,KGZ
2009,Fatal occupational injuries among employees (rate),Naryn,,KG04,8.653139,KGZ
2010,Fatal occupational injuries among employees (rate),Naryn,,KG04,8.600301,KGZ
2011,Fatal occupational injuries among employees (rate),Naryn,,KG04,8.443094,KGZ
2012,Fatal occupational injuries among employees (rate),Naryn,,KG04,8.285691,KGZ
2013,Fatal occupational injuries among employees (rate),Naryn,,KG04,8.224022,KGZ
2014,Fatal occupational injuries among employees (rate),Naryn,,KG04,16.345879,KGZ
2015,Fatal occupational injuries among employees (rate),Naryn,,KG04,3.700278,KGZ
2016,Fatal occupational injuries among employees (rate),Naryn,,KG04,19.647137,KGZ
2017,Fatal occupational injuries among employees (rate),Naryn,,KG04,19.320685,KGZ
2019,Fatal occupational injuries among employees (rate),Naryn,,KG04,7.69586,KGZ
2021,Fatal occupational injuries among employees (rate),Naryn,,KG04,3.808073,KGZ
2008,Fatal occupational injuries among employees (rate),Naryn,Female,KG04,8.058667,KGZ
2009,Fatal occupational injuries among employees (rate),Naryn,Female,KG04,7.907639,KGZ
2010,Fatal occupational injuries among employees (rate),Naryn,Female,KG04,7.789375,KGZ
2007,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,38.71842,KGZ
2009,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,9.553836,KGZ
2010,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,9.599693,KGZ
2011,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,18.703825,KGZ
2012,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,18.637592,KGZ
2013,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,18.883958,KGZ
2014,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,37.703836,KGZ
2015,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,8.688097,KGZ
2016,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,45.195697,KGZ
2017,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,43.402778,KGZ
2019,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,17.711654,KGZ
2021,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,8.744316,KGZ
2007,Fatal occupational injuries among employees (rate),Osh,,KG06,0.0,KGZ
2008,Fatal occupational injuries among employees (rate),Osh,,KG06,2.148043,KGZ
2009,Fatal occupational injuries among employees (rate),Osh,,KG06,4.345181,KGZ
2011,Fatal occupational injuries among employees (rate),Osh,,KG06,7.250755,KGZ
2013,Fatal occupational injuries among employees (rate),Osh,,KG06,2.649638,KGZ
2015,Fatal occupational injuries among employees (rate),Osh,,KG06,2.590741,KGZ
2017,Fatal occupational injuries among employees (rate),Osh,,KG06,6.776751,KGZ
2021,Fatal occupational injuries among employees (rate),Osh,,KG06,4.050551,KGZ
2007,Fatal occupational injuries among employees (rate),Osh,Male,KG06,0.0,KGZ
2008,Fatal occupational injuries among employees (rate),Osh,Male,KG06,4.880906,KGZ
2009,Fatal occupational injuries among employees (rate),Osh,Male,KG06,11.227125,KGZ
2011,Fatal occupational injuries among employees (rate),Osh,Male,KG06,17.884822,KGZ
2013,Fatal occupational injuries among employees (rate),Osh,Male,KG06,6.378365,KGZ
2015,Fatal occupational injuries among employees (rate),Osh,Male,KG06,6.510417,KGZ
2017,Fatal occupational injuries among employees (rate),Osh,Male,KG06,16.669445,KGZ
2021,Fatal occupational injuries among employees (rate),Osh,Male,KG06,9.977551,KGZ
2007,Fatal occupational injuries among employees (rate),Talas,,KG07,5.755727,KGZ
2008,Fatal occupational injuries among employees (rate),Talas,,KG07,5.701579,KGZ
2009,Fatal occupational injuries among employees (rate),Talas,,KG07,5.350455,KGZ
2010,Fatal occupational injuries among employees (rate),Talas,,KG07,5.483659,KGZ
2011,Fatal occupational injuries among employees (rate),Talas,,KG07,10.582571,KGZ
2012,Fatal occupational injuries among employees (rate),Talas,,KG07,5.259006,KGZ
2013,Fatal occupational injuries among employees (rate),Talas,,KG07,30.616931,KGZ
2014,Fatal occupational injuries among employees (rate),Talas,,KG07,10.404745,KGZ
2015,Fatal occupational injuries among employees (rate),Talas,,KG07,10.041169,KGZ
2017,Fatal occupational injuries among employees (rate),Talas,,KG07,5.102301,KGZ
2018,Fatal occupational injuries among employees (rate),Talas,,KG07,4.923198,KGZ
2019,Fatal occupational injuries among employees (rate),Talas,,KG07,4.641233,KGZ
2021,Fatal occupational injuries among employees (rate),Talas,,KG07,9.290227,KGZ
2021,Fatal occupational injuries among employees (rate),Talas,Female,KG07,9.002521,KGZ
2007,Fatal occupational injuries among employees (rate),Talas,Male,KG07,13.294337,KGZ
2008,Fatal occupational injuries among employees (rate),Talas,Male,KG07,13.486177,KGZ
2009,Fatal occupational injuries among employees (rate),Talas,Male,KG07,12.292563,KGZ
2010,Fatal occupational injuries among employees (rate),Talas,Male,KG07,11.875074,KGZ
2011,Fatal occupational injuries among employees (rate),Talas,Male,KG07,23.419204,KGZ
2012,Fatal occupational injuries among employees (rate),Talas,Male,KG07,11.546011,KGZ
2013,Fatal occupational injuries among employees (rate),Talas,Male,KG07,66.55574,KGZ
2014,Fatal occupational injuries among employees (rate),Talas,Male,KG07,22.606533,KGZ
2015,Fatal occupational injuries among employees (rate),Talas,Male,KG07,21.746222,KGZ
2017,Fatal occupational injuries among employees (rate),Talas,Male,KG07,11.318619,KGZ
2018,Fatal occupational injuries among employees (rate),Talas,Male,KG07,10.5241,KGZ
2019,Fatal occupational injuries among employees (rate),Talas,Male,KG07,10.310341,KGZ
2021,Fatal occupational injuries among employees (rate),Talas,Male,KG07,9.596929,KGZ
2007,Fatal occupational injuries among employees (rate),Chui,,KG08,6.682348,KGZ
2008,Fatal occupational injuries among employees (rate),Chui,,KG08,9.966399,KGZ
2010,Fatal occupational injuries among employees (rate),Chui,,KG08,4.774409,KGZ
2011,Fatal occupational injuries among employees (rate),Chui,,KG08,3.330447,KGZ
2012,Fatal occupational injuries among employees (rate),Chui,,KG08,6.30517,KGZ
2014,Fatal occupational injuries among employees (rate),Chui,,KG08,4.936728,KGZ
2015,Fatal occupational injuries among employees (rate),Chui,,KG08,3.206927,KGZ
2016,Fatal occupational injuries among employees (rate),Chui,,KG08,3.181016,KGZ
2017,Fatal occupational injuries among employees (rate),Chui,,KG08,3.310107,KGZ
2019,Fatal occupational injuries among employees (rate),Chui,,KG08,1.539219,KGZ
2020,Fatal occupational injuries among employees (rate),Chui,,KG08,3.025764,KGZ
2021,Fatal occupational injuries among employees (rate),Chui,,KG08,1.581253,KGZ
2007,Fatal occupational injuries among employees (rate),Chui,Female,KG08,2.70966,KGZ
2011,Fatal occupational injuries among employees (rate),Chui,Female,KG08,3.153977,KGZ
2014,Fatal occupational injuries among employees (rate),Chui,Female,KG08,9.577932,KGZ
2015,Fatal occupational injuries among employees (rate),Chui,Female,KG08,6.113964,KGZ
2020,Fatal occupational injuries among employees (rate),Chui,Female,KG08,3.017046,KGZ
2021,Fatal occupational injuries among employees (rate),Chui,Female,KG08,0.0,KGZ
2007,Fatal occupational injuries among employees (rate),Chui,Male,KG08,10.548801,KGZ
2008,Fatal occupational injuries among employees (rate),Chui,Male,KG08,19.312476,KGZ
2010,Fatal occupational injuries among employees (rate),Chui,Male,KG08,9.819967,KGZ
2011,Fatal occupational injuries among employees (rate),Chui,Male,KG08,3.527835,KGZ
2012,Fatal occupational injuries among employees (rate),Chui,Male,KG08,13.373901,KGZ
2016,Fatal occupational injuries among employees (rate),Chui,Male,KG08,6.325911,KGZ
2017,Fatal occupational injuries among employees (rate),Chui,Male,KG08,6.583712,KGZ
2019,Fatal occupational injuries among employees (rate),Chui,Male,KG08,3.081379,KGZ
2020,Fatal occupational injuries among employees (rate),Chui,Male,KG08,3.034533,KGZ
2021,Fatal occupational injuries among employees (rate),Chui,Male,KG08,3.140112,KGZ
2007,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,1.915843,KGZ
2008,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,3.29511,KGZ
2009,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,3.061062,KGZ
2010,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,7.233404,KGZ
2011,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,2.298164,KGZ
2012,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,2.218414,KGZ
2013,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,3.875561,KGZ
2014,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,1.662704,KGZ
2015,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,1.669542,KGZ
2016,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,3.29857,KGZ
2017,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,2.162723,KGZ
2018,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,2.126042,KGZ
2019,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,2.024005,KGZ
2020,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,1.065945,KGZ
2021,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,2.281672,KGZ
2013,Fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,1.07118,KGZ
2016,Fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,1.059558,KGZ
2018,Fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,1.017491,KGZ
2007,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,4.280822,KGZ
2008,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,6.68342,KGZ
2009,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,6.186434,KGZ
2010,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,14.513261,KGZ
2011,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,4.34967,KGZ
2012,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,4.50121,KGZ
2013,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,6.875688,KGZ
2014,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,3.41328,KGZ
2015,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,3.486669,KGZ
2016,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,5.71311,KGZ
2017,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,4.530781,KGZ
2018,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,3.338452,KGZ
2019,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,4.205612,KGZ
2020,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,2.141626,KGZ
2021,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,4.521,KGZ
2007,Fatal occupational injuries among employees (rate),Osh (city),,KG21,5.264266,KGZ
2008,Fatal occupational injuries among employees (rate),Osh (city),,KG21,7.598784,KGZ
2009,Fatal occupational injuries among employees (rate),Osh (city),,KG21,2.618418,KGZ
2010,Fatal occupational injuries among employees (rate),Osh (city),,KG21,7.900766,KGZ
2011,Fatal occupational injuries among employees (rate),Osh (city),,KG21,2.629849,KGZ
2012,Fatal occupational injuries among employees (rate),Osh (city),,KG21,2.666667,KGZ
2013,Fatal occupational injuries among employees (rate),Osh (city),,KG21,8.157938,KGZ
2014,Fatal occupational injuries among employees (rate),Osh (city),,KG21,5.178932,KGZ
2015,Fatal occupational injuries among employees (rate),Osh (city),,KG21,2.512879,KGZ
2016,Fatal occupational injuries among employees (rate),Osh (city),,KG21,2.492274,KGZ
2017,Fatal occupational injuries among employees (rate),Osh (city),,KG21,7.657554,KGZ
2018,Fatal occupational injuries among employees (rate),Osh (city),,KG21,2.617458,KGZ
2021,Fatal occupational injuries among employees (rate),Osh (city),,KG21,5.082076,KGZ
2007,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,10.292301,KGZ
2008,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,15.067048,KGZ
2009,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,5.023106,KGZ
2010,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,15.020277,KGZ
2011,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,5.037022,KGZ
2012,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,5.200208,KGZ
