Year,Reference area,Sex,COMPOSITE_BREAKDOWN,GeoCode,Value,M49_country_code
2017,Chui,,Non-communicable disease: Cardiovascular disease,KG08,377.668309,KGZ
2018,Chui,,Non-communicable disease: Cardiovascular disease,KG08,377.066781,KGZ
2019,Chui,,Non-communicable disease: Cardiovascular disease,KG08,360.757496,KGZ
2020,Chui,,Non-communicable disease: Cardiovascular disease,KG08,405.5,KGZ
2021,Chui,,Non-communicable disease: Cardiovascular disease,KG08,391.1,KGZ
2007,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,539.869609,KGZ
2008,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,517.515528,KGZ
2009,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,462.686567,KGZ
2010,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,476.930792,KGZ
2011,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,455.652174,KGZ
2012,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,452.654759,KGZ
2013,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,441.296519,KGZ
2014,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,416.116871,KGZ
2015,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,394.177449,KGZ
2016,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,383.552333,KGZ
2017,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,376.389506,KGZ
2018,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,366.986481,KGZ
2019,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,368.005126,KGZ
2020,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,398.8,KGZ
2021,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,400.7,KGZ
2007,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,556.443798,KGZ
2008,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,560.788083,KGZ
2009,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,466.808914,KGZ
2010,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,490.794574,KGZ
2011,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,477.895243,KGZ
2012,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,480.796586,KGZ
2013,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,441.909197,KGZ
2014,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,443.784278,KGZ
2015,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,407.307779,KGZ
2016,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,379.204221,KGZ
2017,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,378.908777,KGZ
2018,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,386.844332,KGZ
2019,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,353.72175,KGZ
2020,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,412.5,KGZ
2021,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,381.9,KGZ
2007,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,353.534169,KGZ
2008,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,321.877523,KGZ
2009,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,288.411532,KGZ
2010,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,298.32376,KGZ
2011,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,305.385769,KGZ
2012,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,297.003957,KGZ
2013,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,269.583471,KGZ
2014,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,272.638964,KGZ
2015,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,253.191265,KGZ
2016,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,242.521147,KGZ
2017,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,242.433414,KGZ
2018,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,232.778161,KGZ
2019,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,237.36306,KGZ
2020,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,254.0,KGZ
2021,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,255.7,KGZ
2007,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,349.07805,KGZ
2008,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,320.089397,KGZ
2009,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,282.587549,KGZ
2010,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,283.910078,KGZ
2011,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,297.243606,KGZ
2012,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,287.451362,KGZ
2013,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,264.482431,KGZ
2014,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,269.168404,KGZ
2015,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,243.218807,KGZ
2016,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,230.684327,KGZ
2017,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,237.057808,KGZ
2018,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,229.473684,KGZ
2019,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,237.753638,KGZ
2020,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,253.1,KGZ
2021,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,256.0,KGZ
2007,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,357.392826,KGZ
2008,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,323.428079,KGZ
2009,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,293.471371,KGZ
2010,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,310.804899,KGZ
2011,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,312.446167,KGZ
2012,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,305.30319,KGZ
2013,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,274.023559,KGZ
2014,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,275.666936,KGZ
2015,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,261.918892,KGZ
2016,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,252.904725,KGZ
2017,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,247.156937,KGZ
2018,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,235.686492,KGZ
2019,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,237.018274,KGZ
2020,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,254.9,KGZ
2021,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,255.5,KGZ
2007,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,247.76699,KGZ
2008,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,292.02502,KGZ
2009,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,274.312282,KGZ
2010,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,267.961165,KGZ
2011,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,281.860829,KGZ
2012,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,298.721426,KGZ
2013,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,266.8,KGZ
2014,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,270.078446,KGZ
2015,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,253.479853,KGZ
2016,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,248.92396,KGZ
2017,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,240.364401,KGZ
2018,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,223.393404,KGZ
2019,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,208.823529,KGZ
2020,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,287.3,KGZ
2021,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,258.9,KGZ
2007,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,279.935275,KGZ
2008,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,314.029364,KGZ
2009,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,311.793215,KGZ
2010,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,292.880259,KGZ
2011,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,316.476346,KGZ
2012,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,319.063005,KGZ
2013,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,285.035629,KGZ
2014,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,280.062064,KGZ
2015,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,277.355623,KGZ
2016,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,257.057949,KGZ
2017,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,243.654822,KGZ
2018,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,226.825843,KGZ
2019,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,221.173297,KGZ
2020,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,291.4,KGZ
2021,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,271.5,KGZ
2007,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,218.073189,KGZ
2008,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,271.771772,KGZ
2009,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,239.761727,KGZ
2010,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,244.958925,KGZ
2011,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,250.0,KGZ
2012,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,279.970216,KGZ
2013,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,249.81685,KGZ
2014,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,260.806916,KGZ
2015,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,231.25884,KGZ
2016,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,241.331484,KGZ
2017,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,237.288136,KGZ
2018,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,220.171391,KGZ
2019,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,197.209892,KGZ
2020,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,283.5,KGZ
2021,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,247.0,KGZ
2007,,,Non-communicable disease: Cancer,,57.1,KGZ
2008,,,Non-communicable disease: Cancer,,58.2,KGZ
2009,,,Non-communicable disease: Cancer,,60.7,KGZ
2010,,,Non-communicable disease: Cancer,,59.4,KGZ
2011,,,Non-communicable disease: Cancer,,61.3,KGZ
2012,,,Non-communicable disease: Cancer,,59.4,KGZ
2013,,,Non-communicable disease: Cancer,,61.0,KGZ
2014,,,Non-communicable disease: Cancer,,64.3,KGZ
2015,,,Non-communicable disease: Cancer,,64.5,KGZ
2016,,,Non-communicable disease: Cancer,,64.4,KGZ
2017,,,Non-communicable disease: Cancer,,62.2,KGZ
2018,,,Non-communicable disease: Cancer,,65.6,KGZ
2019,,,Non-communicable disease: Cancer,,64.1,KGZ
2020,,,Non-communicable disease: Cancer,,63.8,KGZ
2021,,,Non-communicable disease: Cancer,,59.5,KGZ
2007,,Male,Non-communicable disease: Cancer,,60.758812,KGZ
2008,,Male,Non-communicable disease: Cancer,,60.756213,KGZ
2009,,Male,Non-communicable disease: Cancer,,66.097038,KGZ
2010,,Male,Non-communicable disease: Cancer,,63.699241,KGZ
2011,,Male,Non-communicable disease: Cancer,,65.633379,KGZ
2012,,Male,Non-communicable disease: Cancer,,63.242248,KGZ
2013,,Male,Non-communicable disease: Cancer,,63.974255,KGZ
2014,,Male,Non-communicable disease: Cancer,,69.006132,KGZ
2015,,Male,Non-communicable disease: Cancer,,66.804571,KGZ
2016,,Male,Non-communicable disease: Cancer,,69.296411,KGZ
2017,,Male,Non-communicable disease: Cancer,,65.881128,KGZ
2018,,Male,Non-communicable disease: Cancer,,67.25771,KGZ
2019,,Male,Non-communicable disease: Cancer,,66.331627,KGZ
2020,,Male,Non-communicable disease: Cancer,,67.6,KGZ
2021,,Male,Non-communicable disease: Cancer,,62.7,KGZ
2007,,Female,Non-communicable disease: Cancer,,53.49116,KGZ
2008,,Female,Non-communicable disease: Cancer,,55.693666,KGZ
2009,,Female,Non-communicable disease: Cancer,,55.417003,KGZ
2010,,Female,Non-communicable disease: Cancer,,55.31591,KGZ
2011,,Female,Non-communicable disease: Cancer,,57.020057,KGZ
2012,,Female,Non-communicable disease: Cancer,,55.618215,KGZ
2013,,Female,Non-communicable disease: Cancer,,58.018118,KGZ
2014,,Female,Non-communicable disease: Cancer,,59.747041,KGZ
2015,,Female,Non-communicable disease: Cancer,,62.194595,KGZ
2016,,Female,Non-communicable disease: Cancer,,59.711222,KGZ
2017,,Female,Non-communicable disease: Cancer,,58.599623,KGZ
2018,,Female,Non-communicable disease: Cancer,,63.939261,KGZ
2019,,Female,Non-communicable disease: Cancer,,61.883243,KGZ
2020,,Female,Non-communicable disease: Cancer,,60.0,KGZ
2021,,Female,Non-communicable disease: Cancer,,56.4,KGZ
2007,Batken,,Non-communicable disease: Cancer,KG05,32.3,KGZ
2008,Batken,,Non-communicable disease: Cancer,KG05,26.4,KGZ
2009,Batken,,Non-communicable disease: Cancer,KG05,30.2,KGZ
2010,Batken,,Non-communicable disease: Cancer,KG05,33.8,KGZ
2011,Batken,,Non-communicable disease: Cancer,KG05,33.9,KGZ
2012,Batken,,Non-communicable disease: Cancer,KG05,33.0,KGZ
2013,Batken,,Non-communicable disease: Cancer,KG05,32.1,KGZ
2014,Batken,,Non-communicable disease: Cancer,KG05,35.6,KGZ
2015,Batken,,Non-communicable disease: Cancer,KG05,42.3,KGZ
2016,Batken,,Non-communicable disease: Cancer,KG05,38.6,KGZ
2017,Batken,,Non-communicable disease: Cancer,KG05,32.6,KGZ
2018,Batken,,Non-communicable disease: Cancer,KG05,43.319214,KGZ
2019,Batken,,Non-communicable disease: Cancer,KG05,37.462349,KGZ
2020,Batken,,Non-communicable disease: Cancer,KG05,34.1,KGZ
2021,Batken,,Non-communicable disease: Cancer,KG05,37.8,KGZ
2007,Batken,Male,Non-communicable disease: Cancer,KG05,30.826716,KGZ
2008,Batken,Male,Non-communicable disease: Cancer,KG05,31.018519,KGZ
2009,Batken,Male,Non-communicable disease: Cancer,KG05,34.246575,KGZ
2010,Batken,Male,Non-communicable disease: Cancer,KG05,35.087719,KGZ
2011,Batken,Male,Non-communicable disease: Cancer,KG05,31.443756,KGZ
2012,Batken,Male,Non-communicable disease: Cancer,KG05,30.381944,KGZ
2013,Batken,Male,Non-communicable disease: Cancer,KG05,28.401865,KGZ
2014,Batken,Male,Non-communicable disease: Cancer,KG05,38.907285,KGZ
2015,Batken,Male,Non-communicable disease: Cancer,KG05,42.424242,KGZ
2016,Batken,Male,Non-communicable disease: Cancer,KG05,37.095501,KGZ
2017,Batken,Male,Non-communicable disease: Cancer,KG05,28.979907,KGZ
2018,Batken,Male,Non-communicable disease: Cancer,KG05,38.185255,KGZ
2019,Batken,Male,Non-communicable disease: Cancer,KG05,38.433112,KGZ
2020,Batken,Male,Non-communicable disease: Cancer,KG05,32.9,KGZ
2021,Batken,Male,Non-communicable disease: Cancer,KG05,31.9,KGZ
2007,Batken,Female,Non-communicable disease: Cancer,KG05,33.800097,KGZ
2008,Batken,Female,Non-communicable disease: Cancer,KG05,21.562051,KGZ
2009,Batken,Female,Non-communicable disease: Cancer,KG05,26.017029,KGZ
2010,Batken,Female,Non-communicable disease: Cancer,KG05,32.543003,KGZ
2011,Batken,Female,Non-communicable disease: Cancer,KG05,36.513008,KGZ
2012,Batken,Female,Non-communicable disease: Cancer,KG05,35.810206,KGZ
2013,Batken,Female,Non-communicable disease: Cancer,KG05,35.901926,KGZ
2014,Batken,Female,Non-communicable disease: Cancer,KG05,32.106164,KGZ
2015,Batken,Female,Non-communicable disease: Cancer,KG05,42.24174,KGZ
2016,Batken,Female,Non-communicable disease: Cancer,KG05,40.04904,KGZ
2017,Batken,Female,Non-communicable disease: Cancer,KG05,36.443732,KGZ
2018,Batken,Female,Non-communicable disease: Cancer,KG05,48.646528,KGZ
2019,Batken,Female,Non-communicable disease: Cancer,KG05,36.454336,KGZ
2020,Batken,Female,Non-communicable disease: Cancer,KG05,35.3,KGZ
2021,Batken,Female,Non-communicable disease: Cancer,KG05,43.8,KGZ
2007,Jalal-Abad,,Non-communicable disease: Cancer,KG03,36.3,KGZ
2008,Jalal-Abad,,Non-communicable disease: Cancer,KG03,42.0,KGZ
2009,Jalal-Abad,,Non-communicable disease: Cancer,KG03,47.8,KGZ
2010,Jalal-Abad,,Non-communicable disease: Cancer,KG03,46.3,KGZ
2011,Jalal-Abad,,Non-communicable disease: Cancer,KG03,51.5,KGZ
2012,Jalal-Abad,,Non-communicable disease: Cancer,KG03,47.3,KGZ
2013,Jalal-Abad,,Non-communicable disease: Cancer,KG03,49.2,KGZ
2014,Jalal-Abad,,Non-communicable disease: Cancer,KG03,51.0,KGZ
2015,Jalal-Abad,,Non-communicable disease: Cancer,KG03,52.9,KGZ
2016,Jalal-Abad,,Non-communicable disease: Cancer,KG03,54.2,KGZ
2017,Jalal-Abad,,Non-communicable disease: Cancer,KG03,50.9,KGZ
2018,Jalal-Abad,,Non-communicable disease: Cancer,KG03,49.480249,KGZ
2019,Jalal-Abad,,Non-communicable disease: Cancer,KG03,50.87233,KGZ
2020,Jalal-Abad,,Non-communicable disease: Cancer,KG03,50.5,KGZ
2021,Jalal-Abad,,Non-communicable disease: Cancer,KG03,46.2,KGZ
2007,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,37.037037,KGZ
2008,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,45.2,KGZ
2009,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,49.025399,KGZ
2010,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,46.168768,KGZ
2011,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,58.846007,KGZ
2012,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,49.653363,KGZ
2013,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,49.8808,KGZ
2014,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,53.311793,KGZ
2015,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,53.555751,KGZ
2016,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,59.662999,KGZ
2017,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,57.831732,KGZ
2018,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,45.627376,KGZ
2019,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,51.523007,KGZ
2020,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,49.3,KGZ
2021,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,48.9,KGZ
2007,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,35.634744,KGZ
2008,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,38.838839,KGZ
2009,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,46.539144,KGZ
2010,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,46.461897,KGZ
2011,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,44.061303,KGZ
2012,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,44.941707,KGZ
2013,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,48.461397,KGZ
2014,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,48.762868,KGZ
2015,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,52.221632,KGZ
2016,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,48.784722,KGZ
2017,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,43.811797,KGZ
2018,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,53.380187,KGZ
2019,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,50.213325,KGZ
2020,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,51.7,KGZ
2021,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,43.6,KGZ
2007,Issyk-Kul,,Non-communicable disease: Cancer,KG02,74.6,KGZ
2008,Issyk-Kul,,Non-communicable disease: Cancer,KG02,72.4,KGZ
2009,Issyk-Kul,,Non-communicable disease: Cancer,KG02,78.7,KGZ
2010,Issyk-Kul,,Non-communicable disease: Cancer,KG02,73.4,KGZ
2011,Issyk-Kul,,Non-communicable disease: Cancer,KG02,74.0,KGZ
2012,Issyk-Kul,,Non-communicable disease: Cancer,KG02,84.8,KGZ
2013,Issyk-Kul,,Non-communicable disease: Cancer,KG02,81.8,KGZ
2014,Issyk-Kul,,Non-communicable disease: Cancer,KG02,85.2,KGZ
2015,Issyk-Kul,,Non-communicable disease: Cancer,KG02,89.1,KGZ
2016,Issyk-Kul,,Non-communicable disease: Cancer,KG02,83.9,KGZ
2017,Issyk-Kul,,Non-communicable disease: Cancer,KG02,80.9,KGZ
2018,Issyk-Kul,,Non-communicable disease: Cancer,KG02,90.460526,KGZ
2019,Issyk-Kul,,Non-communicable disease: Cancer,KG02,87.441672,KGZ
2020,Issyk-Kul,,Non-communicable disease: Cancer,KG02,85.6,KGZ
2021,Issyk-Kul,,Non-communicable disease: Cancer,KG02,82.4,KGZ
2007,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,79.008883,KGZ
2008,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,68.741291,KGZ
2009,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,90.658076,KGZ
2010,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,76.642336,KGZ
2011,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,82.730561,KGZ
2012,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,90.380313,KGZ
2013,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,95.006628,KGZ
2014,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,93.0131,KGZ
2015,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,90.948276,KGZ
2016,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,91.758709,KGZ
2017,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,88.358459,KGZ
2018,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,93.311313,KGZ
2019,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,92.87169,KGZ
2020,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,99.0,KGZ
2021,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,93.3,KGZ
2007,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,70.390554,KGZ
2008,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,75.983718,KGZ
2009,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,67.056706,KGZ
2010,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,70.183281,KGZ
2011,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,65.304309,KGZ
2012,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,79.225352,KGZ
2013,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,68.785372,KGZ
2014,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,77.51938,KGZ
2015,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,87.234043,KGZ
2016,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,76.05042,KGZ
2017,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,73.413521,KGZ
2018,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,87.633088,KGZ
2019,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,82.053355,KGZ
2020,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,72.3,KGZ
2021,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,71.5,KGZ
2007,Naryn,,Non-communicable disease: Cancer,KG04,70.8,KGZ
2008,Naryn,,Non-communicable disease: Cancer,KG04,72.0,KGZ
2009,Naryn,,Non-communicable disease: Cancer,KG04,72.0,KGZ
2010,Naryn,,Non-communicable disease: Cancer,KG04,66.7,KGZ
2011,Naryn,,Non-communicable disease: Cancer,KG04,81.9,KGZ
2012,Naryn,,Non-communicable disease: Cancer,KG04,63.8,KGZ
2013,Naryn,,Non-communicable disease: Cancer,KG04,78.2,KGZ
2014,Naryn,,Non-communicable disease: Cancer,KG04,82.4,KGZ
2015,Naryn,,Non-communicable disease: Cancer,KG04,89.5,KGZ
2016,Naryn,,Non-communicable disease: Cancer,KG04,88.1,KGZ
2017,Naryn,,Non-communicable disease: Cancer,KG04,81.8,KGZ
2018,Naryn,,Non-communicable disease: Cancer,KG04,87.946741,KGZ
2019,Naryn,,Non-communicable disease: Cancer,KG04,83.593479,KGZ
2020,Naryn,,Non-communicable disease: Cancer,KG04,80.4,KGZ
2021,Naryn,,Non-communicable disease: Cancer,KG04,71.6,KGZ
2007,Naryn,Male,Non-communicable disease: Cancer,KG04,77.872012,KGZ
2008,Naryn,Male,Non-communicable disease: Cancer,KG04,75.442648,KGZ
2009,Naryn,Male,Non-communicable disease: Cancer,KG04,79.632466,KGZ
2010,Naryn,Male,Non-communicable disease: Cancer,KG04,74.242424,KGZ
2011,Naryn,Male,Non-communicable disease: Cancer,KG04,83.832335,KGZ
2012,Naryn,Male,Non-communicable disease: Cancer,KG04,62.130178,KGZ
2013,Naryn,Male,Non-communicable disease: Cancer,KG04,76.69832,KGZ
2014,Naryn,Male,Non-communicable disease: Cancer,KG04,90.252708,KGZ
2015,Naryn,Male,Non-communicable disease: Cancer,KG04,88.508208,KGZ
2016,Naryn,Male,Non-communicable disease: Cancer,KG04,95.909732,KGZ
2017,Naryn,Male,Non-communicable disease: Cancer,KG04,80.779944,KGZ
2018,Naryn,Male,Non-communicable disease: Cancer,KG04,101.928375,KGZ
2019,Naryn,Male,Non-communicable disease: Cancer,KG04,89.97955,KGZ
2020,Naryn,Male,Non-communicable disease: Cancer,KG04,93.9,KGZ
2021,Naryn,Male,Non-communicable disease: Cancer,KG04,81.7,KGZ
2007,Naryn,Female,Non-communicable disease: Cancer,KG04,63.579278,KGZ
2008,Naryn,Female,Non-communicable disease: Cancer,KG04,68.396226,KGZ
2009,Naryn,Female,Non-communicable disease: Cancer,KG04,64.212999,KGZ
2010,Naryn,Female,Non-communicable disease: Cancer,KG04,59.052059,KGZ
2011,Naryn,Female,Non-communicable disease: Cancer,KG04,80.0,KGZ
2012,Naryn,Female,Non-communicable disease: Cancer,KG04,65.498858,KGZ
2013,Naryn,Female,Non-communicable disease: Cancer,KG04,79.819277,KGZ
2014,Naryn,Female,Non-communicable disease: Cancer,KG04,74.349442,KGZ
2015,Naryn,Female,Non-communicable disease: Cancer,KG04,90.441176,KGZ
2016,Naryn,Female,Non-communicable disease: Cancer,KG04,79.94186,KGZ
2017,Naryn,Female,Non-communicable disease: Cancer,KG04,82.793377,KGZ
