Year,UNIT_MEASURE,Sex,Area,SERIES,Regions,Value,M49_country_code,Reference area,GeoCode
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Atyrau,2.8,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Batys Kazakhstan,13.9,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Zhambyl,10.3,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Karagandy,7.8,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Kostanay,14.2,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Kyzylorda,10.9,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Mangistau,1.1,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Pavlodar,5.5,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,15.5,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Turkistan,23.8,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,9.0,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Nur-Sultan city,0.9,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Almaty city,1.2,KAZ,,
2013,Percent,,urban,5.5 US dollars per day (based on PPP),Shymkent city,17.3,KAZ,,
2013,Percent,,rural,1.9 US dollars per day (based on PPP),Akmola,0.2,KAZ,,
2013,Percent,,rural,1.9 US dollars per day (based on PPP),Karagandy,0.7,KAZ,,
2013,Percent,,rural,1.9 US dollars per day (based on PPP),Soltustik Kazakhstan,0.1,KAZ,,
2013,Percent,,rural,3.2 US dollars per day (based on PPP),Akmola,1.6,KAZ,,
2013,Percent,,rural,3.2 US dollars per day (based on PPP),Aktobe,0.7,KAZ,,
2013,Percent,,rural,3.2 US dollars per day (based on PPP),Almaty,0.7,KAZ,,
2013,Percent,,rural,3.2 US dollars per day (based on PPP),Batys Kazakhstan,0.8,KAZ,,
2013,Percent,,rural,3.2 US dollars per day (based on PPP),Zhambyl,0.6,KAZ,,
2013,Percent,,rural,3.2 US dollars per day (based on PPP),Karagandy,3.5,KAZ,,
2013,Percent,,rural,3.2 US dollars per day (based on PPP),Kostanay,1.3,KAZ,,
2013,Percent,,rural,3.2 US dollars per day (based on PPP),Pavlodar,0.9,KAZ,,
2013,Percent,,rural,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,2.5,KAZ,,
2013,Percent,,rural,3.2 US dollars per day (based on PPP),Turkistan,2.1,KAZ,,
2013,Percent,,rural,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,0.1,KAZ,,
2013,Percent,,rural,5.5 US dollars per day (based on PPP),Akmola,16.1,KAZ,,
2013,Percent,,rural,5.5 US dollars per day (based on PPP),Aktobe,18.3,KAZ,,
2013,Percent,,rural,5.5 US dollars per day (based on PPP),Almaty,3.8,KAZ,,
2013,Percent,,rural,5.5 US dollars per day (based on PPP),Atyrau,10.7,KAZ,,
2013,Percent,,rural,5.5 US dollars per day (based on PPP),Batys Kazakhstan,32.2,KAZ,,
2013,Percent,,rural,5.5 US dollars per day (based on PPP),Zhambyl,18.3,KAZ,,
2013,Percent,,rural,5.5 US dollars per day (based on PPP),Karagandy,23.5,KAZ,,
2013,Percent,,rural,5.5 US dollars per day (based on PPP),Kostanay,16.0,KAZ,,
2013,Percent,,rural,5.5 US dollars per day (based on PPP),Kyzylorda,11.6,KAZ,,
2013,Percent,,rural,5.5 US dollars per day (based on PPP),Mangistau,5.1,KAZ,,
2013,Percent,,rural,5.5 US dollars per day (based on PPP),Pavlodar,13.1,KAZ,,
2013,Percent,,rural,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,23.2,KAZ,,
2013,Percent,,rural,5.5 US dollars per day (based on PPP),Turkistan,42.7,KAZ,,
2013,Percent,,rural,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,16.1,KAZ,,
2014,Percent,,,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2014,Percent,,,3.2 US dollars per day (based on PPP),,0.7,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),,15.0,KAZ,,
2014,Percent,Male,,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2014,Percent,Male,,3.2 US dollars per day (based on PPP),,0.7,KAZ,,
2014,Percent,Male,,5.5 US dollars per day (based on PPP),,15.7,KAZ,,
2014,Percent,Female,,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2014,Percent,Female,,3.2 US dollars per day (based on PPP),,0.6,KAZ,,
2014,Percent,Female,,5.5 US dollars per day (based on PPP),,14.5,KAZ,,
2014,Percent,,urban,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2014,Percent,,urban,3.2 US dollars per day (based on PPP),,0.3,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),,9.3,KAZ,,
2014,Percent,,rural,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2014,Percent,,rural,3.2 US dollars per day (based on PPP),,1.1,KAZ,,
2014,Percent,,rural,5.5 US dollars per day (based on PPP),,22.1,KAZ,,
2014,Percent,,,1.9 US dollars per day (based on PPP),Akmola,0.1,KAZ,,
2014,Percent,,,1.9 US dollars per day (based on PPP),Karagandy,0.0,KAZ,,
2014,Percent,,,1.9 US dollars per day (based on PPP),Turkistan,0.1,KAZ,,
2014,Percent,,,3.2 US dollars per day (based on PPP),Akmola,0.8,KAZ,,
2014,Percent,,,3.2 US dollars per day (based on PPP),Aktobe,0.9,KAZ,,
2014,Percent,,,3.2 US dollars per day (based on PPP),Almaty,0.3,KAZ,,
2014,Percent,,,3.2 US dollars per day (based on PPP),Batys Kazakhstan,1.3,KAZ,,
2014,Percent,,,3.2 US dollars per day (based on PPP),Zhambyl,0.7,KAZ,,
2014,Percent,,,3.2 US dollars per day (based on PPP),Karagandy,0.6,KAZ,,
2014,Percent,,,3.2 US dollars per day (based on PPP),Kostanay,1.2,KAZ,,
2014,Percent,,,3.2 US dollars per day (based on PPP),Kyzylorda,0.6,KAZ,,
2014,Percent,,,3.2 US dollars per day (based on PPP),Mangistau,0.1,KAZ,,
2014,Percent,,,3.2 US dollars per day (based on PPP),Pavlodar,0.2,KAZ,,
2014,Percent,,,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,1.2,KAZ,,
2014,Percent,,,3.2 US dollars per day (based on PPP),Turkistan,1.6,KAZ,,
2014,Percent,,,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,0.6,KAZ,,
2014,Percent,,,3.2 US dollars per day (based on PPP),Almaty city,0.1,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Akmola,15.8,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Aktobe,13.0,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Almaty,5.8,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Atyrau,10.7,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Batys Kazakhstan,21.1,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Zhambyl,24.7,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Karagandy,9.1,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Kostanay,15.3,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Kyzylorda,15.9,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Mangistau,4.2,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Pavlodar,9.6,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,19.1,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Turkistan,41.9,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,13.9,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Nur-Sultan city,0.6,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Almaty city,1.8,KAZ,,
2014,Percent,,,5.5 US dollars per day (based on PPP),Shymkent city,13.4,KAZ,,
2014,Percent,,urban,1.9 US dollars per day (based on PPP),Turkistan,0.3,KAZ,,
2014,Percent,,urban,3.2 US dollars per day (based on PPP),Akmola,0.3,KAZ,,
2014,Percent,,urban,3.2 US dollars per day (based on PPP),Aktobe,0.5,KAZ,,
2014,Percent,,urban,3.2 US dollars per day (based on PPP),Almaty,0.5,KAZ,,
2014,Percent,,urban,3.2 US dollars per day (based on PPP),Batys Kazakhstan,0.3,KAZ,,
2014,Percent,,urban,3.2 US dollars per day (based on PPP),Zhambyl,0.8,KAZ,,
2014,Percent,,urban,3.2 US dollars per day (based on PPP),Karagandy,0.1,KAZ,,
2014,Percent,,urban,3.2 US dollars per day (based on PPP),Kostanay,0.4,KAZ,,
2014,Percent,,urban,3.2 US dollars per day (based on PPP),Kyzylorda,1.0,KAZ,,
2014,Percent,,urban,3.2 US dollars per day (based on PPP),Pavlodar,0.2,KAZ,,
2014,Percent,,urban,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,0.5,KAZ,,
2014,Percent,,urban,3.2 US dollars per day (based on PPP),Turkistan,1.1,KAZ,,
2014,Percent,,urban,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,0.2,KAZ,,
2014,Percent,,urban,3.2 US dollars per day (based on PPP),Almaty city,0.1,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Akmola,15.9,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Aktobe,10.8,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Almaty,6.9,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Atyrau,3.8,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Batys Kazakhstan,11.6,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Zhambyl,18.2,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Karagandy,6.2,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Kostanay,10.6,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Kyzylorda,15.3,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Mangistau,1.0,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Pavlodar,7.9,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,14.1,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Turkistan,32.6,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,12.8,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Nur-Sultan city,0.6,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Almaty city,1.8,KAZ,,
2014,Percent,,urban,5.5 US dollars per day (based on PPP),Shymkent city,13.4,KAZ,,
2014,Percent,,rural,1.9 US dollars per day (based on PPP),Akmola,0.2,KAZ,,
2014,Percent,,rural,1.9 US dollars per day (based on PPP),Karagandy,0.1,KAZ,,
2014,Percent,,rural,3.2 US dollars per day (based on PPP),Akmola,1.2,KAZ,,
2014,Percent,,rural,3.2 US dollars per day (based on PPP),Aktobe,1.6,KAZ,,
2014,Percent,,rural,3.2 US dollars per day (based on PPP),Almaty,0.3,KAZ,,
2014,Percent,,rural,3.2 US dollars per day (based on PPP),Batys Kazakhstan,2.4,KAZ,,
2014,Percent,,rural,3.2 US dollars per day (based on PPP),Zhambyl,0.6,KAZ,,
2014,Percent,,rural,3.2 US dollars per day (based on PPP),Karagandy,2.7,KAZ,,
2014,Percent,,rural,3.2 US dollars per day (based on PPP),Kostanay,2.0,KAZ,,
2014,Percent,,rural,3.2 US dollars per day (based on PPP),Kyzylorda,0.4,KAZ,,
2014,Percent,,rural,3.2 US dollars per day (based on PPP),Mangistau,0.1,KAZ,,
2014,Percent,,rural,3.2 US dollars per day (based on PPP),Pavlodar,0.3,KAZ,,
2014,Percent,,rural,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,1.8,KAZ,,
2014,Percent,,rural,3.2 US dollars per day (based on PPP),Turkistan,1.7,KAZ,,
2014,Percent,,rural,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,1.3,KAZ,,
2014,Percent,,rural,5.5 US dollars per day (based on PPP),Akmola,15.8,KAZ,,
2014,Percent,,rural,5.5 US dollars per day (based on PPP),Aktobe,16.5,KAZ,,
2014,Percent,,rural,5.5 US dollars per day (based on PPP),Almaty,5.5,KAZ,,
2014,Percent,,rural,5.5 US dollars per day (based on PPP),Atyrau,17.0,KAZ,,
2014,Percent,,rural,5.5 US dollars per day (based on PPP),Batys Kazakhstan,30.5,KAZ,,
2014,Percent,,rural,5.5 US dollars per day (based on PPP),Zhambyl,29.1,KAZ,,
2014,Percent,,rural,5.5 US dollars per day (based on PPP),Karagandy,20.3,KAZ,,
2014,Percent,,rural,5.5 US dollars per day (based on PPP),Kostanay,20.4,KAZ,,
2014,Percent,,rural,5.5 US dollars per day (based on PPP),Kyzylorda,16.3,KAZ,,
2014,Percent,,rural,5.5 US dollars per day (based on PPP),Mangistau,7.4,KAZ,,
2014,Percent,,rural,5.5 US dollars per day (based on PPP),Pavlodar,13.6,KAZ,,
2014,Percent,,rural,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,22.9,KAZ,,
2014,Percent,,rural,5.5 US dollars per day (based on PPP),Turkistan,44.7,KAZ,,
2014,Percent,,rural,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,15.6,KAZ,,
2015,Percent,,,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2015,Percent,,,3.2 US dollars per day (based on PPP),,0.7,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),,16.1,KAZ,,
2015,Percent,Male,,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2015,Percent,Male,,3.2 US dollars per day (based on PPP),,0.7,KAZ,,
2015,Percent,Male,,5.5 US dollars per day (based on PPP),,16.8,KAZ,,
2015,Percent,Female,,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2015,Percent,Female,,3.2 US dollars per day (based on PPP),,0.7,KAZ,,
2015,Percent,Female,,5.5 US dollars per day (based on PPP),,15.6,KAZ,,
2015,Percent,,urban,3.2 US dollars per day (based on PPP),,0.3,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),,10.1,KAZ,,
2015,Percent,,rural,1.9 US dollars per day (based on PPP),,0.1,KAZ,,
2015,Percent,,rural,3.2 US dollars per day (based on PPP),,1.2,KAZ,,
2015,Percent,,rural,5.5 US dollars per day (based on PPP),,24.0,KAZ,,
2015,Percent,,,1.9 US dollars per day (based on PPP),Akmola,0.0,KAZ,,
2015,Percent,,,1.9 US dollars per day (based on PPP),Almaty,0.1,KAZ,,
2015,Percent,,,1.9 US dollars per day (based on PPP),Karagandy,0.0,KAZ,,
2015,Percent,,,1.9 US dollars per day (based on PPP),Kostanay,0.1,KAZ,,
2015,Percent,,,1.9 US dollars per day (based on PPP),Soltustik Kazakhstan,0.3,KAZ,,
2015,Percent,,,1.9 US dollars per day (based on PPP),Shygys Kazakhstan,0.0,KAZ,,
2015,Percent,,,3.2 US dollars per day (based on PPP),Akmola,1.3,KAZ,,
2015,Percent,,,3.2 US dollars per day (based on PPP),Aktobe,0.8,KAZ,,
2015,Percent,,,3.2 US dollars per day (based on PPP),Almaty,0.3,KAZ,,
2015,Percent,,,3.2 US dollars per day (based on PPP),Batys Kazakhstan,1.7,KAZ,,
2015,Percent,,,3.2 US dollars per day (based on PPP),Zhambyl,1.0,KAZ,,
2015,Percent,,,3.2 US dollars per day (based on PPP),Karagandy,0.7,KAZ,,
2015,Percent,,,3.2 US dollars per day (based on PPP),Kostanay,1.0,KAZ,,
2015,Percent,,,3.2 US dollars per day (based on PPP),Kyzylorda,0.8,KAZ,,
2015,Percent,,,3.2 US dollars per day (based on PPP),Mangistau,0.1,KAZ,,
2015,Percent,,,3.2 US dollars per day (based on PPP),Pavlodar,0.9,KAZ,,
2015,Percent,,,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,2.0,KAZ,,
2015,Percent,,,3.2 US dollars per day (based on PPP),Turkistan,0.7,KAZ,,
2015,Percent,,,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,1.1,KAZ,,
2015,Percent,,,3.2 US dollars per day (based on PPP),Nur-Sultan city,0.1,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Akmola,16.2,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Aktobe,17.8,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Almaty,8.7,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Atyrau,11.8,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Batys Kazakhstan,21.3,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Zhambyl,35.8,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Karagandy,12.1,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Kostanay,16.3,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Kyzylorda,26.7,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Mangistau,4.8,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Pavlodar,10.9,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,16.1,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Turkistan,36.1,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,13.1,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Nur-Sultan city,0.8,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Almaty city,2.1,KAZ,,
2015,Percent,,,5.5 US dollars per day (based on PPP),Shymkent city,12.5,KAZ,,
2015,Percent,,urban,3.2 US dollars per day (based on PPP),Akmola,1.2,KAZ,,
2015,Percent,,urban,3.2 US dollars per day (based on PPP),Aktobe,0.2,KAZ,,
2015,Percent,,urban,3.2 US dollars per day (based on PPP),Almaty,0.7,KAZ,,
2015,Percent,,urban,3.2 US dollars per day (based on PPP),Batys Kazakhstan,0.1,KAZ,,
2015,Percent,,urban,3.2 US dollars per day (based on PPP),Zhambyl,1.2,KAZ,,
2015,Percent,,urban,3.2 US dollars per day (based on PPP),Kostanay,0.2,KAZ,,
2015,Percent,,urban,3.2 US dollars per day (based on PPP),Kyzylorda,0.5,KAZ,,
2015,Percent,,urban,3.2 US dollars per day (based on PPP),Pavlodar,0.6,KAZ,,
2015,Percent,,urban,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,1.3,KAZ,,
2015,Percent,,urban,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,0.4,KAZ,,
2015,Percent,,urban,3.2 US dollars per day (based on PPP),Nur-Sultan city,0.1,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Akmola,16.6,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Aktobe,14.6,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Almaty,9.0,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Atyrau,4.6,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Batys Kazakhstan,11.6,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Zhambyl,30.2,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Karagandy,10.0,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Kostanay,10.9,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Kyzylorda,21.5,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Mangistau,1.5,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Pavlodar,10.9,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,11.7,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Turkistan,25.2,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,7.2,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Nur-Sultan city,0.8,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Almaty city,2.1,KAZ,,
2015,Percent,,urban,5.5 US dollars per day (based on PPP),Shymkent city,12.5,KAZ,,
2015,Percent,,rural,1.9 US dollars per day (based on PPP),Akmola,0.0,KAZ,,
2015,Percent,,rural,1.9 US dollars per day (based on PPP),Almaty,0.1,KAZ,,
2015,Percent,,rural,1.9 US dollars per day (based on PPP),Karagandy,0.1,KAZ,,
2015,Percent,,rural,1.9 US dollars per day (based on PPP),Soltustik Kazakhstan,0.5,KAZ,,
2015,Percent,,rural,1.9 US dollars per day (based on PPP),Shygys Kazakhstan,0.1,KAZ,,
2015,Percent,,rural,3.2 US dollars per day (based on PPP),Akmola,1.5,KAZ,,
2015,Percent,,rural,3.2 US dollars per day (based on PPP),Aktobe,1.8,KAZ,,
2015,Percent,,rural,3.2 US dollars per day (based on PPP),Almaty,0.2,KAZ,,
2015,Percent,,rural,3.2 US dollars per day (based on PPP),Batys Kazakhstan,3.2,KAZ,,
2015,Percent,,rural,3.2 US dollars per day (based on PPP),Zhambyl,0.9,KAZ,,
2015,Percent,,rural,3.2 US dollars per day (based on PPP),Karagandy,3.3,KAZ,,
2015,Percent,,rural,3.2 US dollars per day (based on PPP),Kostanay,2.0,KAZ,,
2015,Percent,,rural,3.2 US dollars per day (based on PPP),Kyzylorda,1.0,KAZ,,
2015,Percent,,rural,3.2 US dollars per day (based on PPP),Mangistau,0.1,KAZ,,
2015,Percent,,rural,3.2 US dollars per day (based on PPP),Pavlodar,1.4,KAZ,,
2015,Percent,,rural,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,2.6,KAZ,,
2015,Percent,,rural,3.2 US dollars per day (based on PPP),Turkistan,1.0,KAZ,,
2015,Percent,,rural,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,2.3,KAZ,,
2015,Percent,,rural,5.5 US dollars per day (based on PPP),Akmola,15.9,KAZ,,
2015,Percent,,rural,5.5 US dollars per day (based on PPP),Aktobe,23.2,KAZ,,
2015,Percent,,rural,5.5 US dollars per day (based on PPP),Almaty,8.7,KAZ,,
2015,Percent,,rural,5.5 US dollars per day (based on PPP),Atyrau,18.4,KAZ,,
2015,Percent,,rural,5.5 US dollars per day (based on PPP),Batys Kazakhstan,30.9,KAZ,,
2015,Percent,,rural,5.5 US dollars per day (based on PPP),Zhambyl,39.7,KAZ,,
2015,Percent,,rural,5.5 US dollars per day (based on PPP),Karagandy,20.4,KAZ,,
2015,Percent,,rural,5.5 US dollars per day (based on PPP),Kostanay,22.3,KAZ,,
2015,Percent,,rural,5.5 US dollars per day (based on PPP),Kyzylorda,30.3,KAZ,,
2015,Percent,,rural,5.5 US dollars per day (based on PPP),Mangistau,7.8,KAZ,,
2015,Percent,,rural,5.5 US dollars per day (based on PPP),Pavlodar,10.7,KAZ,,
2015,Percent,,rural,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,19.5,KAZ,,
2015,Percent,,rural,5.5 US dollars per day (based on PPP),Turkistan,40.3,KAZ,,
2015,Percent,,rural,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,21.9,KAZ,,
2016,Percent,,,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2016,Percent,,,3.2 US dollars per day (based on PPP),,0.5,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),,13.7,KAZ,,
2016,Percent,Male,,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2016,Percent,Male,,3.2 US dollars per day (based on PPP),,0.5,KAZ,,
2016,Percent,Male,,5.5 US dollars per day (based on PPP),,14.4,KAZ,,
2016,Percent,Female,,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2016,Percent,Female,,3.2 US dollars per day (based on PPP),,0.5,KAZ,,
2016,Percent,Female,,5.5 US dollars per day (based on PPP),,13.1,KAZ,,
2016,Percent,,urban,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2016,Percent,,urban,3.2 US dollars per day (based on PPP),,0.2,KAZ,,
2016,Percent,,urban,5.5 US dollars per day (based on PPP),,7.9,KAZ,,
2016,Percent,,rural,1.9 US dollars per day (based on PPP),,0.0,KAZ,,
2016,Percent,,rural,3.2 US dollars per day (based on PPP),,0.9,KAZ,,
2016,Percent,,rural,5.5 US dollars per day (based on PPP),,21.5,KAZ,,
2016,Percent,,,1.9 US dollars per day (based on PPP),Karagandy,0.0,KAZ,,
2016,Percent,,,1.9 US dollars per day (based on PPP),Soltustik Kazakhstan,0.4,KAZ,,
2016,Percent,,,1.9 US dollars per day (based on PPP),Turkistan,0.1,KAZ,,
2016,Percent,,,3.2 US dollars per day (based on PPP),Akmola,0.8,KAZ,,
2016,Percent,,,3.2 US dollars per day (based on PPP),Aktobe,0.2,KAZ,,
2016,Percent,,,3.2 US dollars per day (based on PPP),Batys Kazakhstan,0.9,KAZ,,
2016,Percent,,,3.2 US dollars per day (based on PPP),Zhambyl,0.8,KAZ,,
2016,Percent,,,3.2 US dollars per day (based on PPP),Karagandy,0.4,KAZ,,
2016,Percent,,,3.2 US dollars per day (based on PPP),Kostanay,0.9,KAZ,,
2016,Percent,,,3.2 US dollars per day (based on PPP),Kyzylorda,0.4,KAZ,,
2016,Percent,,,3.2 US dollars per day (based on PPP),Mangistau,0.1,KAZ,,
2016,Percent,,,3.2 US dollars per day (based on PPP),Pavlodar,0.3,KAZ,,
2016,Percent,,,3.2 US dollars per day (based on PPP),Soltustik Kazakhstan,1.4,KAZ,,
2016,Percent,,,3.2 US dollars per day (based on PPP),Turkistan,1.5,KAZ,,
2016,Percent,,,3.2 US dollars per day (based on PPP),Shygys Kazakhstan,0.3,KAZ,,
2016,Percent,,,3.2 US dollars per day (based on PPP),Almaty city,0.1,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Akmola,14.7,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Aktobe,13.2,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Almaty,5.7,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Atyrau,9.4,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Batys Kazakhstan,17.9,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Zhambyl,33.1,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Karagandy,9.5,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Kostanay,15.9,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Kyzylorda,22.8,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Mangistau,3.3,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Pavlodar,9.8,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Soltustik Kazakhstan,13.1,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Turkistan,34.5,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Shygys Kazakhstan,9.4,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Nur-Sultan city,0.8,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Almaty city,2.1,KAZ,,
2016,Percent,,,5.5 US dollars per day (based on PPP),Shymkent city,5.1,KAZ,,
