Year,UNIT_MEASURE,SERIES,Area,Sex,Age,Value,M49_country_code,Reference area,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode
2019,,,,,,63.171549,KGZ,,,Quintile 2,,
2020,,,,,,69.7,KGZ,,,Quintile 2,,
2021,,,,,,67.44355,KGZ,,,Quintile 2,,
2018,,,,,,57.911249,KGZ,,,Quintile 3,,
2019,,,,,,65.795777,KGZ,,,Quintile 3,,
2020,,,,,,71.5,KGZ,,,Quintile 3,,
2021,,,,,,70.313406,KGZ,,,Quintile 3,,
2018,,,,,,60.870536,KGZ,,,Quintile 4,,
2019,,,,,,69.928679,KGZ,,,Quintile 4,,
2020,,,,,,68.3,KGZ,,,Quintile 4,,
2021,,,,,,71.713307,KGZ,,,Quintile 4,,
2018,,,,,,59.232205,KGZ,,,Quintile 5 (richest),,
2019,,,,,,65.727946,KGZ,,,Quintile 5 (richest),,
2020,,,,,,67.8,KGZ,,,Quintile 5 (richest),,
2021,,,,,,71.8874,KGZ,,,Quintile 5 (richest),,
