Year,UNIT_MEASURE,Area,Regions,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2018.0,Percent,,Karagandy,99.8,KAZ,,,,,,,
2018.0,Percent,,Kostanay,100.0,KAZ,,,,,,,
2018.0,Percent,,Kyzylorda,100.0,KAZ,,,,,,,
2018.0,Percent,,Mangistau,99.8,KAZ,,,,,,,
2018.0,Percent,,Pavlodar,99.9,KAZ,,,,,,,
2018.0,Percent,,Soltustik Kazakhstan,99.9,KAZ,,,,,,,
2018.0,Percent,,Turkistan,99.9,KAZ,,,,,,,
2018.0,Percent,,Shygys Kazakhstan,100.0,KAZ,,,,,,,
2018.0,Percent,,Nur-Sultan city,99.9,KAZ,,,,,,,
2018.0,Percent,,Almaty city,100.0,KAZ,,,,,,,
2018.0,Percent,,Shymkent city,99.9,KAZ,,,,,,,
2018.0,Percent,urban,,99.902853582859,KAZ,,,,,,,
2018.0,Percent,urban,Akmola,99.67732177069678,KAZ,,,,,,,
2018.0,Percent,urban,Aktobe,99.57688453401626,KAZ,,,,,,,
2018.0,Percent,urban,Almaty,99.95825360932336,KAZ,,,,,,,
2018.0,Percent,urban,Atyrau,99.66018123667378,KAZ,,,,,,,
2018.0,Percent,urban,Batys Kazakhstan,99.79395604395604,KAZ,,,,,,,
2018.0,Percent,urban,Zhambyl,99.92751603010872,KAZ,,,,,,,
2018.0,Percent,urban,Karagandy,99.71934271875423,KAZ,,,,,,,
2018.0,Percent,urban,Kostanay,99.96871415163208,KAZ,,,,,,,
2018.0,Percent,urban,Kyzylorda,99.7690736299849,KAZ,,,,,,,
2018.0,Percent,urban,Mangistau,99.71410953528785,KAZ,,,,,,,
2018.0,Percent,urban,Pavlodar,99.83043284248104,KAZ,,,,,,,
2018.0,Percent,urban,Soltustik Kazakhstan,99.74137931034484,KAZ,,,,,,,
2018.0,Percent,urban,Turkistan,99.15737211985596,KAZ,,,,,,,
2018.0,Percent,urban,Shygys Kazakhstan,99.8578102782856,KAZ,,,,,,,
2018.0,Percent,urban,Nur-Sultan city,99.8,KAZ,,,,,,,
2018.0,Percent,urban,Almaty city,99.8,KAZ,,,,,,,
2018.0,Percent,urban,Shymkent city,99.2,KAZ,,,,,,,
2018.0,Percent,rural,,99.8,KAZ,,,,,,,
2018.0,Percent,rural,Akmola,99.9,KAZ,,,,,,,
2018.0,Percent,rural,Aktobe,99.9,KAZ,,,,,,,
2018.0,Percent,rural,Almaty,100.0,KAZ,,,,,,,
2018.0,Percent,rural,Atyrau,100.0,KAZ,,,,,,,
2018.0,Percent,rural,Batys Kazakhstan,100.0,KAZ,,,,,,,
2018.0,Percent,rural,Zhambyl,99.9,KAZ,,,,,,,
2018.0,Percent,rural,Karagandy,99.6,KAZ,,,,,,,
2018.0,Percent,rural,Kostanay,99.9,KAZ,,,,,,,
2018.0,Percent,rural,Kyzylorda,99.7,KAZ,,,,,,,
2018.0,Percent,rural,Mangistau,99.3,KAZ,,,,,,,
2018.0,Percent,rural,Pavlodar,99.8,KAZ,,,,,,,
2018.0,Percent,rural,Soltustik Kazakhstan,100.0,KAZ,,,,,,,
2018.0,Percent,rural,Turkistan,99.7,KAZ,,,,,,,
2018.0,Percent,rural,Shygys Kazakhstan,100.0,KAZ,,,,,,,
2019.0,Percent,,,99.9,KAZ,,,,,,,
2019.0,Percent,,Akmola,99.9,KAZ,,,,,,,
2019.0,Percent,,Aktobe,100.0,KAZ,,,,,,,
2019.0,Percent,,Almaty,100.0,KAZ,,,,,,,
2019.0,Percent,,Atyrau,100.0,KAZ,,,,,,,
2019.0,Percent,,Batys Kazakhstan,99.8,KAZ,,,,,,,
2019.0,Percent,,Zhambyl,99.9,KAZ,,,,,,,
2019.0,Percent,,Karagandy,99.9,KAZ,,,,,,,
2019.0,Percent,,Kostanay,100.0,KAZ,,,,,,,
2019.0,Percent,,Kyzylorda,100.0,KAZ,,,,,,,
2019.0,Percent,,Mangistau,99.9,KAZ,,,,,,,
2019.0,Percent,,Pavlodar,99.9,KAZ,,,,,,,
2019.0,Percent,,Soltustik Kazakhstan,99.9,KAZ,,,,,,,
2019.0,Percent,,Turkistan,99.9,KAZ,,,,,,,
2019.0,Percent,,Shygys Kazakhstan,100.0,KAZ,,,,,,,
2019.0,Percent,,Nur-Sultan city,100.0,KAZ,,,,,,,
2019.0,Percent,,Almaty city,100.0,KAZ,,,,,,,
2019.0,Percent,,Shymkent city,99.9,KAZ,,,,,,,
2019.0,Percent,urban,,99.902853582859,KAZ,,,,,,,
2019.0,Percent,urban,Akmola,99.8,KAZ,,,,,,,
2019.0,Percent,urban,Aktobe,99.7,KAZ,,,,,,,
2019.0,Percent,urban,Almaty,99.95825360932336,KAZ,,,,,,,
2019.0,Percent,urban,Atyrau,99.8,KAZ,,,,,,,
2019.0,Percent,urban,Batys Kazakhstan,99.9,KAZ,,,,,,,
2019.0,Percent,urban,Zhambyl,99.92751603010872,KAZ,,,,,,,
2019.0,Percent,urban,Karagandy,99.8,KAZ,,,,,,,
2019.0,Percent,urban,Kostanay,99.96871415163208,KAZ,,,,,,,
2019.0,Percent,urban,Kyzylorda,99.9,KAZ,,,,,,,
2019.0,Percent,urban,Mangistau,99.8,KAZ,,,,,,,
2019.0,Percent,urban,Pavlodar,99.9,KAZ,,,,,,,
2019.0,Percent,urban,Soltustik Kazakhstan,99.8,KAZ,,,,,,,
2019.0,Percent,urban,Turkistan,99.4,KAZ,,,,,,,
2019.0,Percent,urban,Shygys Kazakhstan,99.8578102782856,KAZ,,,,,,,
2019.0,Percent,urban,Nur-Sultan city,99.9,KAZ,,,,,,,
2019.0,Percent,urban,Almaty city,99.9,KAZ,,,,,,,
2019.0,Percent,urban,Shymkent city,99.3,KAZ,,,,,,,
2019.0,Percent,rural,,99.8,KAZ,,,,,,,
2019.0,Percent,rural,Akmola,99.9,KAZ,,,,,,,
2019.0,Percent,rural,Aktobe,99.9,KAZ,,,,,,,
2019.0,Percent,rural,Almaty,100.0,KAZ,,,,,,,
2019.0,Percent,rural,Atyrau,100.0,KAZ,,,,,,,
2019.0,Percent,rural,Batys Kazakhstan,100.0,KAZ,,,,,,,
2019.0,Percent,rural,Zhambyl,99.9,KAZ,,,,,,,
2019.0,Percent,rural,Karagandy,99.6,KAZ,,,,,,,
2019.0,Percent,rural,Kostanay,99.9,KAZ,,,,,,,
2019.0,Percent,rural,Kyzylorda,99.8,KAZ,,,,,,,
2019.0,Percent,rural,Mangistau,99.4,KAZ,,,,,,,
2019.0,Percent,rural,Pavlodar,99.9,KAZ,,,,,,,
2019.0,Percent,rural,Soltustik Kazakhstan,100.0,KAZ,,,,,,,
2019.0,Percent,rural,Turkistan,99.8,KAZ,,,,,,,
2019.0,Percent,rural,Shygys Kazakhstan,100.0,KAZ,,,,,,,
2007.0,,,,98.436866,KGZ,,,,,,,
2008.0,,,,98.483992,KGZ,,,,,,,
2009.0,,,,98.495642,KGZ,,,,,,,
2010.0,,,,98.309687,KGZ,,,,,,,
2011.0,,,,98.622407,KGZ,,,,,,,
2012.0,,,,98.838817,KGZ,,,,,,,
2013.0,,,,98.985022,KGZ,,,,,,,
2014.0,,,,99.176724,KGZ,,,,,,,
2015.0,,,,99.230049,KGZ,,,,,,,
2016.0,,,,99.185581,KGZ,,,,,,,
2017.0,,,,99.3,KGZ,,,,,,,
2018.0,,,,99.3,KGZ,,,,,,,
2019.0,,,,99.348833,KGZ,,,,,,,
2020.0,,,,99.3,KGZ,,,,,,,
2021.0,,,,99.4,KGZ,,,,,,,
2007.0,,,,97.74409,KGZ,Batken,KG05,,,,,
2008.0,,,,97.474925,KGZ,Batken,KG05,,,,,
2009.0,,,,98.874508,KGZ,Batken,KG05,,,,,
2010.0,,,,96.861772,KGZ,Batken,KG05,,,,,
2011.0,,,,97.13801,KGZ,Batken,KG05,,,,,
2012.0,,,,98.465778,KGZ,Batken,KG05,,,,,
2013.0,,,,99.080933,KGZ,Batken,KG05,,,,,
2014.0,,,,99.356181,KGZ,Batken,KG05,,,,,
2015.0,,,,99.261631,KGZ,Batken,KG05,,,,,
2016.0,,,,98.979592,KGZ,Batken,KG05,,,,,
2017.0,,,,99.2,KGZ,Batken,KG05,,,,,
2018.0,,,,99.4,KGZ,Batken,KG05,,,,,
2019.0,,,,99.335614,KGZ,Batken,KG05,,,,,
2020.0,,,,99.371421,KGZ,Batken,KG05,,,,,
2021.0,,,,98.1,KGZ,Batken,KG05,,,,,
2007.0,,,,98.959241,KGZ,Jalal-Abad,KG03,,,,,
2008.0,,,,98.575021,KGZ,Jalal-Abad,KG03,,,,,
2009.0,,,,98.923445,KGZ,Jalal-Abad,KG03,,,,,
2010.0,,,,98.940709,KGZ,Jalal-Abad,KG03,,,,,
2011.0,,,,99.115744,KGZ,Jalal-Abad,KG03,,,,,
2012.0,,,,99.045346,KGZ,Jalal-Abad,KG03,,,,,
2013.0,,,,99.080837,KGZ,Jalal-Abad,KG03,,,,,
2014.0,,,,99.16137,KGZ,Jalal-Abad,KG03,,,,,
2015.0,,,,99.299119,KGZ,Jalal-Abad,KG03,,,,,
2016.0,,,,99.265036,KGZ,Jalal-Abad,KG03,,,,,
2017.0,,,,99.4,KGZ,Jalal-Abad,KG03,,,,,
2018.0,,,,99.4,KGZ,Jalal-Abad,KG03,,,,,
2019.0,,,,99.331319,KGZ,Jalal-Abad,KG03,,,,,
2020.0,,,,99.319469,KGZ,Jalal-Abad,KG03,,,,,
2021.0,,,,99.319469,KGZ,Jalal-Abad,KG03,,,,,
2007.0,,,,99.294245,KGZ,Issyk-Kul,KG02,,,,,
2008.0,,,,99.008513,KGZ,Issyk-Kul,KG02,,,,,
2009.0,,,,99.274602,KGZ,Issyk-Kul,KG02,,,,,
2010.0,,,,99.414531,KGZ,Issyk-Kul,KG02,,,,,
2011.0,,,,99.463221,KGZ,Issyk-Kul,KG02,,,,,
2012.0,,,,99.435996,KGZ,Issyk-Kul,KG02,,,,,
2013.0,,,,99.427262,KGZ,Issyk-Kul,KG02,,,,,
2014.0,,,,99.451005,KGZ,Issyk-Kul,KG02,,,,,
2015.0,,,,99.391542,KGZ,Issyk-Kul,KG02,,,,,
2016.0,,,,99.422551,KGZ,Issyk-Kul,KG02,,,,,
2017.0,,,,99.5,KGZ,Issyk-Kul,KG02,,,,,
2018.0,,,,99.5,KGZ,Issyk-Kul,KG02,,,,,
2019.0,,,,99.485976,KGZ,Issyk-Kul,KG02,,,,,
2020.0,,,,99.442213,KGZ,Issyk-Kul,KG02,,,,,
2021.0,,,,99.442213,KGZ,Issyk-Kul,KG02,,,,,
2007.0,,,,97.720601,KGZ,Naryn,KG04,,,,,
2008.0,,,,98.116039,KGZ,Naryn,KG04,,,,,
2009.0,,,,98.275296,KGZ,Naryn,KG04,,,,,
2010.0,,,,97.822417,KGZ,Naryn,KG04,,,,,
2011.0,,,,98.680426,KGZ,Naryn,KG04,,,,,
2012.0,,,,98.696845,KGZ,Naryn,KG04,,,,,
2013.0,,,,98.717291,KGZ,Naryn,KG04,,,,,
2014.0,,,,98.817416,KGZ,Naryn,KG04,,,,,
2015.0,,,,98.774112,KGZ,Naryn,KG04,,,,,
2016.0,,,,98.787433,KGZ,Naryn,KG04,,,,,
2017.0,,,,99.0,KGZ,Naryn,KG04,,,,,
2018.0,,,,99.2,KGZ,Naryn,KG04,,,,,
2019.0,,,,99.123344,KGZ,Naryn,KG04,,,,,
2020.0,,,,98.766882,KGZ,Naryn,KG04,,,,,
2021.0,,,,99.1,KGZ,Naryn,KG04,,,,,
2007.0,,,,96.877363,KGZ,Osh,KG06,,,,,
2008.0,,,,97.394325,KGZ,Osh,KG06,,,,,
2009.0,,,,96.451545,KGZ,Osh,KG06,,,,,
2010.0,,,,96.52909,KGZ,Osh,KG06,,,,,
2011.0,,,,97.299639,KGZ,Osh,KG06,,,,,
2012.0,,,,97.817694,KGZ,Osh,KG06,,,,,
2013.0,,,,98.222659,KGZ,Osh,KG06,,,,,
2014.0,,,,98.874035,KGZ,Osh,KG06,,,,,
2015.0,,,,99.087129,KGZ,Osh,KG06,,,,,
2016.0,,,,99.070282,KGZ,Osh,KG06,,,,,
2017.0,,,,99.1,KGZ,Osh,KG06,,,,,
2018.0,,,,99.1,KGZ,Osh,KG06,,,,,
2019.0,,,,99.216847,KGZ,Osh,KG06,,,,,
2020.0,,,,99.212798,KGZ,Osh,KG06,,,,,
2021.0,,,,99.3,KGZ,Osh,KG06,,,,,
2007.0,,,,99.285714,KGZ,Talas,KG07,,,,,
2008.0,,,,99.252883,KGZ,Talas,KG07,,,,,
2009.0,,,,99.270189,KGZ,Talas,KG07,,,,,
2010.0,,,,99.485821,KGZ,Talas,KG07,,,,,
2011.0,,,,99.688576,KGZ,Talas,KG07,,,,,
2012.0,,,,99.660672,KGZ,Talas,KG07,,,,,
2013.0,,,,99.694501,KGZ,Talas,KG07,,,,,
2014.0,,,,99.680296,KGZ,Talas,KG07,,,,,
2015.0,,,,99.729775,KGZ,Talas,KG07,,,,,
2016.0,,,,99.713877,KGZ,Talas,KG07,,,,,
2017.0,,,,99.5,KGZ,Talas,KG07,,,,,
2018.0,,,,99.7,KGZ,Talas,KG07,,,,,
2019.0,,,,99.610751,KGZ,Talas,KG07,,,,,
2020.0,,,,99.79916,KGZ,Talas,KG07,,,,,
2021.0,,,,99.79916,KGZ,Talas,KG07,,,,,
2007.0,,,,99.023641,KGZ,Chui,KG08,,,,,
2008.0,,,,99.18247,KGZ,Chui,KG08,,,,,
2009.0,,,,99.161879,KGZ,Chui,KG08,,,,,
2010.0,,,,99.199707,KGZ,Chui,KG08,,,,,
2011.0,,,,99.107284,KGZ,Chui,KG08,,,,,
2012.0,,,,99.152542,KGZ,Chui,KG08,,,,,
2013.0,,,,99.134263,KGZ,Chui,KG08,,,,,
2014.0,,,,99.23354,KGZ,Chui,KG08,,,,,
2015.0,,,,99.163311,KGZ,Chui,KG08,,,,,
2016.0,,,,99.176269,KGZ,Chui,KG08,,,,,
2017.0,,,,99.2,KGZ,Chui,KG08,,,,,
2018.0,,,,99.2,KGZ,Chui,KG08,,,,,
2019.0,,,,99.366992,KGZ,Chui,KG08,,,,,
2020.0,,,,99.146992,KGZ,Chui,KG08,,,,,
2021.0,,,,99.3,KGZ,Chui,KG08,,,,,
2007.0,,,,99.435435,KGZ,Bishkek (city),KG11,,,,,
2008.0,,,,99.586624,KGZ,Bishkek (city),KG11,,,,,
2009.0,,,,99.621193,KGZ,Bishkek (city),KG11,,,,,
2010.0,,,,99.598067,KGZ,Bishkek (city),KG11,,,,,
2011.0,,,,99.46062,KGZ,Bishkek (city),KG11,,,,,
2012.0,,,,99.614421,KGZ,Bishkek (city),KG11,,,,,
2013.0,,,,99.611183,KGZ,Bishkek (city),KG11,,,,,
2014.0,,,,99.609444,KGZ,Bishkek (city),KG11,,,,,
2015.0,,,,99.494367,KGZ,Bishkek (city),KG11,,,,,
2016.0,,,,99.479551,KGZ,Bishkek (city),KG11,,,,,
2017.0,,,,99.5,KGZ,Bishkek (city),KG11,,,,,
2018.0,,,,99.6,KGZ,Bishkek (city),KG11,,,,,
2019.0,,,,99.478079,KGZ,Bishkek (city),KG11,,,,,
2020.0,,,,99.53837,KGZ,Bishkek (city),KG11,,,,,
2021.0,,,,99.53837,KGZ,Bishkek (city),KG11,,,,,
2007.0,,,,98.916283,KGZ,Osh (city),KG21,,,,,
2008.0,,,,98.982971,KGZ,Osh (city),KG21,,,,,
2009.0,,,,98.918685,KGZ,Osh (city),KG21,,,,,
2010.0,,,,97.390903,KGZ,Osh (city),KG21,,,,,
2011.0,,,,99.342208,KGZ,Osh (city),KG21,,,,,
2012.0,,,,98.973247,KGZ,Osh (city),KG21,,,,,
2013.0,,,,99.300699,KGZ,Osh (city),KG21,,,,,
2014.0,,,,99.388163,KGZ,Osh (city),KG21,,,,,
2015.0,,,,99.258076,KGZ,Osh (city),KG21,,,,,
2016.0,,,,99.319952,KGZ,Osh (city),KG21,,,,,
2017.0,,,,99.5,KGZ,Osh (city),KG21,,,,,
2018.0,,,,99.7,KGZ,Osh (city),KG21,,,,,
2019.0,,,,99.537118,KGZ,Osh (city),KG21,,,,,
2020.0,,,,99.765564,KGZ,Osh (city),KG21,,,,,
2021.0,,,,99.765564,KGZ,Osh (city),KG21,,,,,
,,,,,UZB,,,01_101_,Total,True,2000.0,100.0
,,,,,UZB,,,01_101_,Total,True,2001.0,100.0
,,,,,UZB,,,01_101_,Total,True,2002.0,100.0
,,,,,UZB,,,01_101_,Total,True,2003.0,100.0
,,,,,UZB,,,01_101_,Total,True,2004.0,100.0
,,,,,UZB,,,01_101_,Total,True,2005.0,100.0
,,,,,UZB,,,01_101_,Total,True,2006.0,100.0
,,,,,UZB,,,01_101_,Total,True,2007.0,100.0
,,,,,UZB,,,01_101_,Total,True,2008.0,100.0
,,,,,UZB,,,01_101_,Total,True,2009.0,100.0
,,,,,UZB,,,01_101_,Total,True,2010.0,100.0
,,,,,UZB,,,01_101_,Total,True,2011.0,100.0
,,,,,UZB,,,01_101_,Total,True,2012.0,100.0
,,,,,UZB,,,01_101_,Total,True,2013.0,100.0
,,,,,UZB,,,01_101_,Total,True,2014.0,100.0
,,,,,UZB,,,01_101_,Total,True,2015.0,100.0
,,,,,UZB,,,01_101_,Total,True,2016.0,100.0
,,,,,UZB,,,01_101_,Total,True,2017.0,100.0
,,,,,UZB,,,01_101_,Total,True,2018.0,100.0
,,,,,UZB,,,01_101_,Total,True,2019.0,100.0
,,,,,UZB,,,01_101_,Total,True,2020.0,100.0
,,,,,UZB,,,01_101_,Total,True,2021.0,100.0
