Year,UNIT_MEASURE,SERIES,Value,M49_country_code,Территория,Пол,unique_id,col_caption_name,col_caption_name1_empty,year,value
2013.0,,,12.0,KGZ,Чуйская область,Мужчины,,,,,
2014.0,,,7.0,KGZ,Чуйская область,Мужчины,,,,,
2015.0,,,8.0,KGZ,Чуйская область,Мужчины,,,,,
2016.0,,,11.0,KGZ,Чуйская область,Мужчины,,,,,
2017.0,,,31.0,KGZ,Чуйская область,Мужчины,,,,,
2018.0,,,7.0,KGZ,Чуйская область,Мужчины,,,,,
2019.0,,,2.0,KGZ,Чуйская область,Мужчины,,,,,
2020.0,,,10.0,KGZ,Чуйская область,Мужчины,,,,,
2021.0,,,9.0,KGZ,Чуйская область,Мужчины,,,,,
2007.0,,,7.0,KGZ,Чуйская область,Женщины,,,,,
2008.0,,,26.0,KGZ,Чуйская область,Женщины,,,,,
2009.0,,,7.0,KGZ,Чуйская область,Женщины,,,,,
2010.0,,,14.0,KGZ,Чуйская область,Женщины,,,,,
2011.0,,,11.0,KGZ,Чуйская область,Женщины,,,,,
2012.0,,,8.0,KGZ,Чуйская область,Женщины,,,,,
2013.0,,,10.0,KGZ,Чуйская область,Женщины,,,,,
2014.0,,,6.0,KGZ,Чуйская область,Женщины,,,,,
2015.0,,,7.0,KGZ,Чуйская область,Женщины,,,,,
2016.0,,,3.0,KGZ,Чуйская область,Женщины,,,,,
2017.0,,,24.0,KGZ,Чуйская область,Женщины,,,,,
2018.0,,,3.0,KGZ,Чуйская область,Женщины,,,,,
2019.0,,,4.0,KGZ,Чуйская область,Женщины,,,,,
2020.0,,,14.0,KGZ,Чуйская область,Женщины,,,,,
2021.0,,,11.0,KGZ,Чуйская область,Женщины,,,,,
2007.0,,,12.0,KGZ,г.Бишкек,,,,,,
2008.0,,,1.0,KGZ,г.Бишкек,,,,,,
2009.0,,,0.0,KGZ,г.Бишкек,,,,,,
2010.0,,,14.0,KGZ,г.Бишкек,,,,,,
2011.0,,,19.0,KGZ,г.Бишкек,,,,,,
2012.0,,,3.0,KGZ,г.Бишкек,,,,,,
2013.0,,,0.0,KGZ,г.Бишкек,,,,,,
2014.0,,,2.0,KGZ,г.Бишкек,,,,,,
2015.0,,,0.0,KGZ,г.Бишкек,,,,,,
2016.0,,,7.0,KGZ,г.Бишкек,,,,,,
2017.0,,,0.0,KGZ,г.Бишкек,,,,,,
2018.0,,,0.0,KGZ,г.Бишкек,,,,,,
2019.0,,,0.0,KGZ,г.Бишкек,,,,,,
2020.0,,,0.0,KGZ,г.Бишкек,,,,,,
2021.0,,,0.0,KGZ,г.Бишкек,,,,,,
2007.0,,,9.0,KGZ,г.Бишкек,Мужчины,,,,,
2008.0,,,1.0,KGZ,г.Бишкек,Мужчины,,,,,
2009.0,,,0.0,KGZ,г.Бишкек,Мужчины,,,,,
2010.0,,,9.0,KGZ,г.Бишкек,Мужчины,,,,,
2011.0,,,11.0,KGZ,г.Бишкек,Мужчины,,,,,
2012.0,,,2.0,KGZ,г.Бишкек,Мужчины,,,,,
2013.0,,,0.0,KGZ,г.Бишкек,Мужчины,,,,,
2014.0,,,0.0,KGZ,г.Бишкек,Мужчины,,,,,
2015.0,,,0.0,KGZ,г.Бишкек,Мужчины,,,,,
2016.0,,,7.0,KGZ,г.Бишкек,Мужчины,,,,,
2017.0,,,0.0,KGZ,г.Бишкек,Мужчины,,,,,
2018.0,,,0.0,KGZ,г.Бишкек,Мужчины,,,,,
2019.0,,,0.0,KGZ,г.Бишкек,Мужчины,,,,,
2020.0,,,0.0,KGZ,г.Бишкек,Мужчины,,,,,
2021.0,,,0.0,KGZ,г.Бишкек,Мужчины,,,,,
2007.0,,,3.0,KGZ,г.Бишкек,Женщины,,,,,
2008.0,,,0.0,KGZ,г.Бишкек,Женщины,,,,,
2009.0,,,0.0,KGZ,г.Бишкек,Женщины,,,,,
2010.0,,,5.0,KGZ,г.Бишкек,Женщины,,,,,
2011.0,,,8.0,KGZ,г.Бишкек,Женщины,,,,,
2012.0,,,1.0,KGZ,г.Бишкек,Женщины,,,,,
2013.0,,,0.0,KGZ,г.Бишкек,Женщины,,,,,
2014.0,,,2.0,KGZ,г.Бишкек,Женщины,,,,,
2015.0,,,0.0,KGZ,г.Бишкек,Женщины,,,,,
2016.0,,,0.0,KGZ,г.Бишкек,Женщины,,,,,
2017.0,,,0.0,KGZ,г.Бишкек,Женщины,,,,,
2018.0,,,0.0,KGZ,г.Бишкек,Женщины,,,,,
2019.0,,,0.0,KGZ,г.Бишкек,Женщины,,,,,
2020.0,,,0.0,KGZ,г.Бишкек,Женщины,,,,,
2021.0,,,0.0,KGZ,г.Бишкек,Женщины,,,,,
2007.0,,,7.0,KGZ,г.Ош,,,,,,
2008.0,,,0.0,KGZ,г.Ош,,,,,,
2009.0,,,0.0,KGZ,г.Ош,,,,,,
2010.0,,,6.0,KGZ,г.Ош,,,,,,
2011.0,,,4.0,KGZ,г.Ош,,,,,,
2012.0,,,0.0,KGZ,г.Ош,,,,,,
2013.0,,,0.0,KGZ,г.Ош,,,,,,
2014.0,,,0.0,KGZ,г.Ош,,,,,,
2015.0,,,1.0,KGZ,г.Ош,,,,,,
2016.0,,,0.0,KGZ,г.Ош,,,,,,
2017.0,,,0.0,KGZ,г.Ош,,,,,,
2018.0,,,1.0,KGZ,г.Ош,,,,,,
2019.0,,,0.0,KGZ,г.Ош,,,,,,
2020.0,,,0.0,KGZ,г.Ош,,,,,,
2021.0,,,0.0,KGZ,г.Ош,,,,,,
2007.0,,,5.0,KGZ,г.Ош,Мужчины,,,,,
2008.0,,,0.0,KGZ,г.Ош,Мужчины,,,,,
2009.0,,,0.0,KGZ,г.Ош,Мужчины,,,,,
2010.0,,,4.0,KGZ,г.Ош,Мужчины,,,,,
2011.0,,,2.0,KGZ,г.Ош,Мужчины,,,,,
2012.0,,,0.0,KGZ,г.Ош,Мужчины,,,,,
2013.0,,,0.0,KGZ,г.Ош,Мужчины,,,,,
2014.0,,,0.0,KGZ,г.Ош,Мужчины,,,,,
2015.0,,,1.0,KGZ,г.Ош,Мужчины,,,,,
2016.0,,,0.0,KGZ,г.Ош,Мужчины,,,,,
2017.0,,,0.0,KGZ,г.Ош,Мужчины,,,,,
2018.0,,,1.0,KGZ,г.Ош,Мужчины,,,,,
2019.0,,,0.0,KGZ,г.Ош,Мужчины,,,,,
2020.0,,,0.0,KGZ,г.Ош,Мужчины,,,,,
2021.0,,,0.0,KGZ,г.Ош,Мужчины,,,,,
2007.0,,,2.0,KGZ,г.Ош,Женщины,,,,,
2008.0,,,0.0,KGZ,г.Ош,Женщины,,,,,
2009.0,,,0.0,KGZ,г.Ош,Женщины,,,,,
2010.0,,,2.0,KGZ,г.Ош,Женщины,,,,,
2011.0,,,2.0,KGZ,г.Ош,Женщины,,,,,
2012.0,,,0.0,KGZ,г.Ош,Женщины,,,,,
2013.0,,,0.0,KGZ,г.Ош,Женщины,,,,,
2014.0,,,0.0,KGZ,г.Ош,Женщины,,,,,
2015.0,,,0.0,KGZ,г.Ош,Женщины,,,,,
2016.0,,,0.0,KGZ,г.Ош,Женщины,,,,,
2017.0,,,0.0,KGZ,г.Ош,Женщины,,,,,
2018.0,,,0.0,KGZ,г.Ош,Женщины,,,,,
2019.0,,,0.0,KGZ,г.Ош,Женщины,,,,,
2020.0,,,0.0,KGZ,г.Ош,Женщины,,,,,
2021.0,,,0.0,KGZ,г.Ош,Женщины,,,,,
,,,,UZB,,,01_101_,Total,True,2000.0,0.0
,,,,UZB,,,01_101_,Total,True,2001.0,0.0
,,,,UZB,,,01_101_,Total,True,2002.0,0.0
,,,,UZB,,,01_101_,Total,True,2003.0,0.1
,,,,UZB,,,01_101_,Total,True,2004.0,0.0
,,,,UZB,,,01_101_,Total,True,2005.0,0.1
,,,,UZB,,,01_101_,Total,True,2006.0,0.0
,,,,UZB,,,01_101_,Total,True,2007.0,0.0
,,,,UZB,,,01_101_,Total,True,2008.0,0.0
,,,,UZB,,,01_101_,Total,True,2009.0,0.1
,,,,UZB,,,01_101_,Total,True,2010.0,0.1
,,,,UZB,,,01_101_,Total,True,2011.0,0.2
,,,,UZB,,,01_101_,Total,True,2012.0,0.0
,,,,UZB,,,01_101_,Total,True,2013.0,0.0
,,,,UZB,,,01_101_,Total,True,2014.0,0.0
,,,,UZB,,,01_101_,Total,True,2015.0,0.1
,,,,UZB,,,01_101_,Total,True,2016.0,0.1
,,,,UZB,,,01_101_,Total,True,2017.0,0.0
,,,,UZB,,,01_101_,Total,True,2018.0,0.0
,,,,UZB,,,01_101_,Total,True,2019.0,0.0
,,,,UZB,,,01_101_,Total,True,2020.0,0.1
,,,,UZB,,,01_101_,Total,True,2021.0,0.0
