Year,UNIT_MEASURE,SERIES,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2014.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),91.7,KGZ,Jalal-Abad,KG03,,,,,
2015.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),100.0,KGZ,Jalal-Abad,KG03,,,,,
2016.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95.7,KGZ,Jalal-Abad,KG03,,,,,
2017.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),88.8,KGZ,Jalal-Abad,KG03,,,,,
2018.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),93.49863,KGZ,Jalal-Abad,KG03,,,,,
2019.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),93.035179,KGZ,Jalal-Abad,KG03,,,,,
2020.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),91.334273,KGZ,Jalal-Abad,KG03,,,,,
2021.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),94.815062,KGZ,Jalal-Abad,KG03,,,,,
2007.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.0,KGZ,Issyk-Kul,KG02,,,,,
2008.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.7,KGZ,Issyk-Kul,KG02,,,,,
2009.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.7,KGZ,Issyk-Kul,KG02,,,,,
2010.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.2,KGZ,Issyk-Kul,KG02,,,,,
2011.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.9,KGZ,Issyk-Kul,KG02,,,,,
2012.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95.7,KGZ,Issyk-Kul,KG02,,,,,
2013.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.4,KGZ,Issyk-Kul,KG02,,,,,
2014.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95.6,KGZ,Issyk-Kul,KG02,,,,,
2015.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.9,KGZ,Issyk-Kul,KG02,,,,,
2016.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.7,KGZ,Issyk-Kul,KG02,,,,,
2017.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95.1,KGZ,Issyk-Kul,KG02,,,,,
2018.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.51199,KGZ,Issyk-Kul,KG02,,,,,
2019.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.67698,KGZ,Issyk-Kul,KG02,,,,,
2020.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.09807,KGZ,Issyk-Kul,KG02,,,,,
2021.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),100.537815,KGZ,Issyk-Kul,KG02,,,,,
2007.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.4,KGZ,Naryn,KG04,,,,,
2008.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.1,KGZ,Naryn,KG04,,,,,
2009.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.9,KGZ,Naryn,KG04,,,,,
2010.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.5,KGZ,Naryn,KG04,,,,,
2011.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.7,KGZ,Naryn,KG04,,,,,
2012.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.6,KGZ,Naryn,KG04,,,,,
2013.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.3,KGZ,Naryn,KG04,,,,,
2014.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.7,KGZ,Naryn,KG04,,,,,
2015.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.1,KGZ,Naryn,KG04,,,,,
2016.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.1,KGZ,Naryn,KG04,,,,,
2017.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.0,KGZ,Naryn,KG04,,,,,
2018.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.646444,KGZ,Naryn,KG04,,,,,
2019.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.140747,KGZ,Naryn,KG04,,,,,
2020.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.233184,KGZ,Naryn,KG04,,,,,
2021.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),100.335258,KGZ,Naryn,KG04,,,,,
2007.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.9,KGZ,Osh,KG06,,,,,
2008.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.5,KGZ,Osh,KG06,,,,,
2009.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.8,KGZ,Osh,KG06,,,,,
2010.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.7,KGZ,Osh,KG06,,,,,
2011.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),94.7,KGZ,Osh,KG06,,,,,
2012.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.6,KGZ,Osh,KG06,,,,,
2013.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.9,KGZ,Osh,KG06,,,,,
2014.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.1,KGZ,Osh,KG06,,,,,
2015.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.0,KGZ,Osh,KG06,,,,,
2016.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.2,KGZ,Osh,KG06,,,,,
2017.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.8,KGZ,Osh,KG06,,,,,
2018.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.10916,KGZ,Osh,KG06,,,,,
2019.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.619945,KGZ,Osh,KG06,,,,,
2020.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.454999,KGZ,Osh,KG06,,,,,
2021.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),93.789893,KGZ,Osh,KG06,,,,,
2007.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.6,KGZ,Talas,KG07,,,,,
2008.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.2,KGZ,Talas,KG07,,,,,
2009.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.6,KGZ,Talas,KG07,,,,,
2010.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.1,KGZ,Talas,KG07,,,,,
2011.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.7,KGZ,Talas,KG07,,,,,
2012.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.8,KGZ,Talas,KG07,,,,,
2013.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.7,KGZ,Talas,KG07,,,,,
2014.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),94.3,KGZ,Talas,KG07,,,,,
2015.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.1,KGZ,Talas,KG07,,,,,
2016.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.0,KGZ,Talas,KG07,,,,,
2017.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95.6,KGZ,Talas,KG07,,,,,
2018.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.413291,KGZ,Talas,KG07,,,,,
2019.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95.974889,KGZ,Talas,KG07,,,,,
2020.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95.177033,KGZ,Talas,KG07,,,,,
2021.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95.401432,KGZ,Talas,KG07,,,,,
2007.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.1,KGZ,Chui,KG08,,,,,
2008.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.4,KGZ,Chui,KG08,,,,,
2009.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.7,KGZ,Chui,KG08,,,,,
2010.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.4,KGZ,Chui,KG08,,,,,
2011.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.1,KGZ,Chui,KG08,,,,,
2012.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.4,KGZ,Chui,KG08,,,,,
2013.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.3,KGZ,Chui,KG08,,,,,
2014.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.5,KGZ,Chui,KG08,,,,,
2015.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.6,KGZ,Chui,KG08,,,,,
2016.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95.0,KGZ,Chui,KG08,,,,,
2017.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.3,KGZ,Chui,KG08,,,,,
2018.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.43813,KGZ,Chui,KG08,,,,,
2019.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.450649,KGZ,Chui,KG08,,,,,
2020.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.514722,KGZ,Chui,KG08,,,,,
2021.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),92.308749,KGZ,Chui,KG08,,,,,
2007.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.8,KGZ,Bishkek (city),KG11,,,,,
2008.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.9,KGZ,Bishkek (city),KG11,,,,,
2009.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.6,KGZ,Bishkek (city),KG11,,,,,
2010.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.0,KGZ,Bishkek (city),KG11,,,,,
2011.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.4,KGZ,Bishkek (city),KG11,,,,,
2012.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.7,KGZ,Bishkek (city),KG11,,,,,
2013.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.4,KGZ,Bishkek (city),KG11,,,,,
2014.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95.6,KGZ,Bishkek (city),KG11,,,,,
2015.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.8,KGZ,Bishkek (city),KG11,,,,,
2016.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95.1,KGZ,Bishkek (city),KG11,,,,,
2017.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),91.7,KGZ,Bishkek (city),KG11,,,,,
2018.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.281062,KGZ,Bishkek (city),KG11,,,,,
2019.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.444387,KGZ,Bishkek (city),KG11,,,,,
2020.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),83.697508,KGZ,Bishkek (city),KG11,,,,,
2021.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),89.338843,KGZ,Bishkek (city),KG11,,,,,
2007.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.8,KGZ,Osh (city),KG21,,,,,
2008.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.9,KGZ,Osh (city),KG21,,,,,
2009.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.2,KGZ,Osh (city),KG21,,,,,
2010.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.4,KGZ,Osh (city),KG21,,,,,
2011.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.7,KGZ,Osh (city),KG21,,,,,
2012.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.1,KGZ,Osh (city),KG21,,,,,
2013.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.7,KGZ,Osh (city),KG21,,,,,
2014.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.9,KGZ,Osh (city),KG21,,,,,
2015.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.7,KGZ,Osh (city),KG21,,,,,
2016.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.8,KGZ,Osh (city),KG21,,,,,
2017.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.7,KGZ,Osh (city),KG21,,,,,
2018.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.425085,KGZ,Osh (city),KG21,,,,,
2019.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.981883,KGZ,Osh (city),KG21,,,,,
2020.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),93.662127,KGZ,Osh (city),KG21,,,,,
2021.0,,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),87.955556,KGZ,Osh (city),KG21,,,,,
2015.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),96.8,KGZ,,,,,,,
2016.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),97.2,KGZ,,,,,,,
2017.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),94.2,KGZ,,,,,,,
2018.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),92.0,KGZ,,,,,,,
2019.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),95.083643,KGZ,,,,,,,
2020.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),88.782542,KGZ,,,,,,,
2021.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),89.631204,KGZ,,,,,,,
2015.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),97.3,KGZ,Batken,KG05,,,,,
2016.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),99.3,KGZ,Batken,KG05,,,,,
2017.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),96.3,KGZ,Batken,KG05,,,,,
2018.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),94.6,KGZ,Batken,KG05,,,,,
2019.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),99.597512,KGZ,Batken,KG05,,,,,
2020.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),83.440107,KGZ,Batken,KG05,,,,,
2021.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),89.204466,KGZ,Batken,KG05,,,,,
2015.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),97.3,KGZ,Jalal-Abad,KG03,,,,,
2016.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),95.9,KGZ,Jalal-Abad,KG03,,,,,
2017.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),94.5,KGZ,Jalal-Abad,KG03,,,,,
2018.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),93.8,KGZ,Jalal-Abad,KG03,,,,,
2019.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),90.089857,KGZ,Jalal-Abad,KG03,,,,,
2020.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),88.195819,KGZ,Jalal-Abad,KG03,,,,,
2021.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),84.751749,KGZ,Jalal-Abad,KG03,,,,,
2015.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),98.2,KGZ,Issyk-Kul,KG02,,,,,
2016.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),96.4,KGZ,Issyk-Kul,KG02,,,,,
2017.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),96.3,KGZ,Issyk-Kul,KG02,,,,,
2018.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),95.0,KGZ,Issyk-Kul,KG02,,,,,
2019.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),94.992818,KGZ,Issyk-Kul,KG02,,,,,
2020.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),88.268865,KGZ,Issyk-Kul,KG02,,,,,
2021.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),96.201681,KGZ,Issyk-Kul,KG02,,,,,
2015.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),96.8,KGZ,Naryn,KG04,,,,,
2016.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),96.7,KGZ,Naryn,KG04,,,,,
2017.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),97.0,KGZ,Naryn,KG04,,,,,
2018.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),95.1,KGZ,Naryn,KG04,,,,,
2019.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),97.283381,KGZ,Naryn,KG04,,,,,
2020.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),91.250904,KGZ,Naryn,KG04,,,,,
2021.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),95.567145,KGZ,Naryn,KG04,,,,,
2015.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),96.3,KGZ,Osh,KG06,,,,,
2016.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),98.8,KGZ,Osh,KG06,,,,,
2017.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),97.2,KGZ,Osh,KG06,,,,,
2018.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),92.1,KGZ,Osh,KG06,,,,,
2019.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),98.41451,KGZ,Osh,KG06,,,,,
2020.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),95.711275,KGZ,Osh,KG06,,,,,
2021.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),91.330444,KGZ,Osh,KG06,,,,,
2015.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),97.2,KGZ,Talas,KG07,,,,,
2016.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),96.1,KGZ,Talas,KG07,,,,,
2017.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),94.0,KGZ,Talas,KG07,,,,,
2018.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),96.0,KGZ,Talas,KG07,,,,,
2019.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),94.297841,KGZ,Talas,KG07,,,,,
2020.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),95.762224,KGZ,Talas,KG07,,,,,
2021.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),91.368262,KGZ,Talas,KG07,,,,,
2015.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),97.6,KGZ,Chui,KG08,,,,,
2016.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),98.7,KGZ,Chui,KG08,,,,,
2017.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),92.6,KGZ,Chui,KG08,,,,,
2018.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),92.1,KGZ,Chui,KG08,,,,,
2019.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),94.916128,KGZ,Chui,KG08,,,,,
2020.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),90.955903,KGZ,Chui,KG08,,,,,
2021.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),92.345374,KGZ,Chui,KG08,,,,,
2015.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),95.0,KGZ,Bishkek (city),KG11,,,,,
2016.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),94.8,KGZ,Bishkek (city),KG11,,,,,
2017.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),90.4,KGZ,Bishkek (city),KG11,,,,,
2018.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),83.4,KGZ,Bishkek (city),KG11,,,,,
2019.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),93.823491,KGZ,Bishkek (city),KG11,,,,,
2020.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),79.378126,KGZ,Bishkek (city),KG11,,,,,
2021.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),88.660287,KGZ,Bishkek (city),KG11,,,,,
2015.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),97.9,KGZ,Osh (city),KG21,,,,,
2016.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),96.8,KGZ,Osh (city),KG21,,,,,
2017.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),90.0,KGZ,Osh (city),KG21,,,,,
2018.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),93.9,KGZ,Osh (city),KG21,,,,,
2019.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),95.896254,KGZ,Osh (city),KG21,,,,,
2020.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),87.352779,KGZ,Osh (city),KG21,,,,,
2021.0,,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),84.944444,KGZ,Osh (city),KG21,,,,,
,,,,UZB,,,01_101_,Total,True,2000.0,99.8
,,,,UZB,,,01_101_,Total,True,2001.0,97.3
,,,,UZB,,,01_101_,Total,True,2002.0,98.8
,,,,UZB,,,01_101_,Total,True,2003.0,98.6
,,,,UZB,,,01_101_,Total,True,2004.0,98.6
,,,,UZB,,,01_101_,Total,True,2005.0,98.2
,,,,UZB,,,01_101_,Total,True,2006.0,95.7
,,,,UZB,,,01_101_,Total,True,2007.0,95.1
,,,,UZB,,,01_101_,Total,True,2008.0,97.5
,,,,UZB,,,01_101_,Total,True,2009.0,97.6
,,,,UZB,,,01_101_,Total,True,2010.0,99.1
,,,,UZB,,,01_101_,Total,True,2011.0,99.3
,,,,UZB,,,01_101_,Total,True,2012.0,99.4
,,,,UZB,,,01_101_,Total,True,2013.0,99.8
,,,,UZB,,,01_101_,Total,True,2014.0,99.4
,,,,UZB,,,01_101_,Total,True,2015.0,99.8
,,,,UZB,,,01_101_,Total,True,2016.0,99.8
,,,,UZB,,,01_101_,Total,True,2017.0,99.7
,,,,UZB,,,01_101_,Total,True,2018.0,99.8
,,,,UZB,,,01_101_,Total,True,2019.0,99.8
,,,,UZB,,,01_101_,Total,True,2020.0,0.0
,,,,UZB,,,01_101_,Total,True,2021.0,98.0
