Year,UNIT_MEASURE,Regions,Sex,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2021.0,Percent,Zhambyl,Male,4.55,KAZ,,,,,
2021.0,Percent,Karagandy,Male,2.17,KAZ,,,,,
2021.0,Percent,Kostanay,Male,3.5,KAZ,,,,,
2021.0,Percent,Kyzylorda,Male,1.93,KAZ,,,,,
2021.0,Percent,Mangistau,Male,1.25,KAZ,,,,,
2021.0,Percent,Pavlodar,Male,6.78,KAZ,,,,,
2021.0,Percent,Soltustik Kazakhstan,Male,1.88,KAZ,,,,,
2021.0,Percent,Turkistan,Male,13.99,KAZ,,,,,
2021.0,Percent,Shygys Kazakhstan,Male,3.4,KAZ,,,,,
2021.0,Percent,,Female,1.55,KAZ,,,,,
2021.0,Percent,Akmola,Female,1.6,KAZ,,,,,
2021.0,Percent,Aktobe,Female,0.14,KAZ,,,,,
2021.0,Percent,Almaty,Female,3.16,KAZ,,,,,
2021.0,Percent,Atyrau,Female,0.81,KAZ,,,,,
2021.0,Percent,Batys Kazakhstan,Female,6.3,KAZ,,,,,
2021.0,Percent,Zhambyl,Female,1.2,KAZ,,,,,
2021.0,Percent,Karagandy,Female,0.65,KAZ,,,,,
2021.0,Percent,Kostanay,Female,0.29,KAZ,,,,,
2021.0,Percent,Kyzylorda,Female,0.34,KAZ,,,,,
2021.0,Percent,Mangistau,Female,0.33,KAZ,,,,,
2021.0,Percent,Pavlodar,Female,0.17,KAZ,,,,,
2021.0,Percent,Soltustik Kazakhstan,Female,0.22,KAZ,,,,,
2021.0,Percent,Turkistan,Female,1.12,KAZ,,,,,
2021.0,Percent,Shygys Kazakhstan,Female,3.31,KAZ,,,,,
,,,,,UZB,01_101_,Total,True,2000.0,93.7
,,,,,UZB,01_101_,Total,True,2001.0,95.4
,,,,,UZB,01_101_,Total,True,2002.0,95.5
,,,,,UZB,01_101_,Total,True,2003.0,96.3
,,,,,UZB,01_101_,Total,True,2004.0,97.1
,,,,,UZB,01_101_,Total,True,2005.0,96.9
,,,,,UZB,01_101_,Total,True,2006.0,96.8
,,,,,UZB,01_101_,Total,True,2007.0,97.3
,,,,,UZB,01_101_,Total,True,2008.0,97.5
,,,,,UZB,01_101_,Total,True,2009.0,97.9
,,,,,UZB,01_101_,Total,True,2010.0,97.9
,,,,,UZB,01_101_,Total,True,2011.0,98.0
,,,,,UZB,01_101_,Total,True,2012.0,98.2
,,,,,UZB,01_101_,Total,True,2013.0,98.3
,,,,,UZB,01_101_,Total,True,2014.0,98.5
,,,,,UZB,01_101_,Total,True,2015.0,98.6
,,,,,UZB,01_101_,Total,True,2016.0,97.8
,,,,,UZB,01_101_,Total,True,2017.0,97.9
,,,,,UZB,01_101_,Total,True,2018.0,98.0
,,,,,UZB,01_101_,Total,True,2019.0,98.1
,,,,,UZB,01_101_,Total,True,2020.0,97.7
,,,,,UZB,01_101_,Total,True,2021.0,0.0
